"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","NO","ARI","NO","home","ARI",72,876,1776,3576,"Half1",1,1,10,"run",1,NA,3,3,-7,1,0
"2","NO","ARI","NO","home","ARI",71,843,1743,3543,"Half1",1,2,9,"pass",7,"short",3,3,-7,0,1
"3","NO","ARI","NO","home","ARI",64,801,1701,3501,"Half1",1,3,2,"pass",6,"short",3,3,-7,0,1
"4","NO","ARI","NO","home","ARI",53,753,1653,3453,"Half1",1,1,5,"run",7,NA,3,3,-7,1,0
"5","NO","ARI","NO","home","ARI",46,725,1625,3425,"Half1",1,1,10,"pass",0,"short",3,3,-7,0,1
"6","NO","ARI","NO","home","ARI",46,720,1620,3420,"Half1",1,2,10,"pass",17,"short",3,3,-7,0,1
"7","NO","ARI","NO","home","ARI",29,677,1577,3377,"Half1",1,1,10,"run",11,NA,3,3,-7,1,0
"8","NO","ARI","NO","home","ARI",18,635,1535,3335,"Half1",1,1,10,"pass",13,"short",3,3,-7,0,1
"9","NO","ARI","NO","home","ARI",5,606,1506,3306,"Half1",1,1,5,"run",4,NA,3,3,-7,1,0
"10","NO","ARI","NO","home","ARI",1,562,1462,3262,"Half1",1,2,1,"run",1,NA,3,3,-1,1,0
"11","NO","ARI","NO","home","ARI",37,540,1440,3240,"Half1",1,1,10,"run",8,NA,3,3,0,1,0
"12","NO","ARI","NO","home","ARI",29,515,1415,3215,"Half1",1,2,2,"run",0,NA,3,3,0,1,0
"13","NO","ARI","NO","home","ARI",29,474,1374,3174,"Half1",1,3,2,"pass",12,"short",3,3,0,0,1
"14","NO","ARI","NO","home","ARI",17,430,1330,3130,"Half1",1,1,10,"pass",17,"deep",3,3,6,0,1
"15","NO","ARI","NO","home","ARI",77,325,1225,3025,"Half1",1,1,10,"run",9,NA,3,2,7,1,0
"16","NO","ARI","NO","home","ARI",68,286,1186,2986,"Half1",1,2,1,"run",4,NA,3,2,7,1,0
"17","NO","ARI","NO","home","ARI",64,245,1145,2945,"Half1",1,1,10,"pass",2,"short",3,2,7,0,1
"18","NO","ARI","NO","home","ARI",62,197,1097,2897,"Half1",1,2,8,"pass",16,"short",3,2,7,0,1
"19","NO","ARI","NO","home","ARI",46,163,1063,2863,"Half1",1,1,10,"run",46,NA,3,2,13,1,0
"20","NO","ARI","NO","home","ARI",69,24,924,2724,"Half1",1,1,10,"pass",0,"short",3,2,14,0,1
"21","NO","ARI","NO","home","ARI",69,18,918,2718,"Half1",1,2,10,"pass",3,"short",3,2,14,0,1
"22","NO","ARI","NO","home","ARI",66,900,900,2700,"Half1",2,3,7,"pass",0,"deep",3,2,14,0,1
"23","NO","ARI","NO","home","ARI",83,575,575,2375,"Half1",2,1,10,"run",5,NA,3,2,7,1,0
"24","NO","ARI","NO","home","ARI",78,551,551,2351,"Half1",2,2,5,"pass",0,"deep",3,2,7,0,1
