"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","PHI","GB","GB","away","PHI",68,644,1544,3344,"Half1",1,1,10,"pass",15,"short",3,3,0,0,1
"2","PHI","GB","GB","away","PHI",53,616,1516,3316,"Half1",1,1,10,"pass",12,"short",3,3,0,0,1
"3","PHI","GB","GB","away","PHI",41,576,1476,3276,"Half1",1,1,10,"pass",0,"deep",3,3,0,0,1
"4","PHI","GB","GB","away","PHI",41,569,1469,3269,"Half1",1,2,10,"run",3,NA,3,3,0,1,0
"5","PHI","GB","GB","away","PHI",38,525,1425,3225,"Half1",1,3,7,"pass",0,"short",3,3,0,0,1
"6","PHI","GB","GB","away","PHI",68,346,1246,3046,"Half1",1,1,10,"pass",0,"short",3,2,0,0,1
"7","PHI","GB","GB","away","PHI",68,342,1242,3042,"Half1",1,2,10,"run",27,NA,3,2,0,1,0
"8","PHI","GB","GB","away","PHI",41,300,1200,3000,"Half1",1,1,10,"run",1,NA,3,2,0,1,0
"9","PHI","GB","GB","away","PHI",40,261,1161,2961,"Half1",1,2,9,"run",4,NA,3,2,0,1,0
"10","PHI","GB","GB","away","PHI",31,216,1116,2916,"Half1",1,1,10,"run",4,NA,3,2,0,1,0
"11","PHI","GB","GB","away","PHI",27,179,1079,2879,"Half1",1,2,6,"pass",8,"short",3,2,0,0,1
"12","PHI","GB","GB","away","PHI",19,140,1040,2840,"Half1",1,1,10,"run",2,NA,3,2,0,1,0
"13","PHI","GB","GB","away","PHI",17,98,998,2798,"Half1",1,2,8,"pass",1,"short",3,2,0,0,1
"14","PHI","GB","GB","away","PHI",16,53,953,2753,"Half1",1,3,7,"pass",9,"short",3,2,0,0,1
"15","PHI","GB","GB","away","PHI",7,13,913,2713,"Half1",1,1,7,"pass",7,"short",3,1,6,0,1
"16","PHI","GB","GB","away","PHI",57,741,741,2541,"Half1",2,1,10,"run",5,NA,3,1,7,1,0
"17","PHI","GB","GB","away","PHI",52,706,706,2506,"Half1",2,2,5,"run",4,NA,3,1,7,1,0
"18","PHI","GB","GB","away","PHI",48,666,666,2466,"Half1",2,3,1,"run",1,NA,3,1,7,1,0
"19","PHI","GB","GB","away","PHI",47,635,635,2435,"Half1",2,1,10,"pass",8,"short",3,1,7,0,1
"20","PHI","GB","GB","away","PHI",39,592,592,2392,"Half1",2,2,2,"run",0,NA,3,1,7,1,0
"21","PHI","GB","GB","away","PHI",39,550,550,2350,"Half1",2,3,2,"pass",4,"short",3,1,7,0,1
"22","PHI","GB","GB","away","PHI",35,502,502,2302,"Half1",2,1,10,"pass",7,"short",2,1,7,0,1
"23","PHI","GB","GB","away","PHI",28,465,465,2265,"Half1",2,2,3,"run",6,NA,2,1,7,1,0
"24","PHI","GB","GB","away","PHI",22,424,424,2224,"Half1",2,1,10,"run",-3,NA,2,1,7,1,0
"25","PHI","GB","GB","away","PHI",25,391,391,2191,"Half1",2,2,13,"pass",8,"short",2,1,7,0,1
"26","PHI","GB","GB","away","PHI",17,359,359,2159,"Half1",2,3,5,"run",8,NA,2,1,7,1,0
"27","PHI","GB","GB","away","PHI",9,329,329,2129,"Half1",2,1,9,"pass",9,"short",2,1,13,0,1
"28","PHI","GB","GB","away","PHI",80,71,71,1871,"Half1",2,1,10,"run",5,NA,2,1,11,1,0
"29","PHI","GB","GB","away","PHI",75,49,49,1849,"Half1",2,2,5,"pass",0,"short",2,1,11,0,1
"30","PHI","GB","GB","away","PHI",75,45,45,1845,"Half1",2,3,5,"pass",12,"short",2,1,11,0,1
"31","PHI","GB","GB","away","PHI",63,37,37,1837,"Half1",2,1,10,"pass",0,"deep",1,1,11,0,1
"32","PHI","GB","GB","away","PHI",68,31,31,1831,"Half1",2,2,15,"pass",11,"short",1,1,11,0,1
"33","PHI","GB","GB","away","PHI",83,893,1793,1793,"Half2",3,1,10,"run",8,NA,3,3,11,1,0
"34","PHI","GB","GB","away","PHI",75,853,1753,1753,"Half2",3,2,2,"pass",0,"deep",3,3,11,0,1
"35","PHI","GB","GB","away","PHI",75,846,1746,1746,"Half2",3,3,2,"pass",-1,NA,2,3,11,0,1
"36","PHI","GB","GB","away","PHI",80,825,1725,1725,"Half2",3,1,10,"run",4,NA,2,3,4,1,0
"37","PHI","GB","GB","away","PHI",76,793,1693,1693,"Half2",3,2,6,"run",1,NA,2,3,4,1,0
"38","PHI","GB","GB","away","PHI",75,751,1651,1651,"Half2",3,3,5,"pass",6,"short",2,3,4,0,1
"39","PHI","GB","GB","away","PHI",69,710,1610,1610,"Half2",3,1,10,"pass",0,"short",2,3,4,0,1
"40","PHI","GB","GB","away","PHI",69,705,1605,1605,"Half2",3,2,10,"pass",0,"short",2,3,4,0,1
"41","PHI","GB","GB","away","PHI",69,701,1601,1601,"Half2",3,3,10,"pass",20,"deep",2,3,4,0,1
"42","PHI","GB","GB","away","PHI",49,654,1554,1554,"Half2",3,1,10,"run",19,NA,2,3,4,1,0
"43","PHI","GB","GB","away","PHI",30,615,1515,1515,"Half2",3,1,10,"run",5,NA,2,3,4,1,0
"44","PHI","GB","GB","away","PHI",25,576,1476,1476,"Half2",3,2,5,"pass",16,"short",2,3,4,0,1
"45","PHI","GB","GB","away","PHI",9,530,1430,1430,"Half2",3,1,9,"run",3,NA,2,3,4,1,0
"46","PHI","GB","GB","away","PHI",16,461,1361,1361,"Half2",3,2,16,"pass",16,"short",2,3,10,0,1
"47","PHI","GB","GB","away","PHI",98,267,1167,1167,"Half2",3,1,10,"run",2,NA,2,3,11,1,0
"48","PHI","GB","GB","away","PHI",96,229,1129,1129,"Half2",3,2,8,"run",3,NA,2,3,11,1,0
"49","PHI","GB","GB","away","PHI",93,187,1087,1087,"Half2",3,3,5,"pass",0,"short",2,3,11,0,1
"50","PHI","GB","GB","away","PHI",76,785,785,785,"Half2",4,1,10,"run",2,NA,2,3,11,1,0
"51","PHI","GB","GB","away","PHI",74,744,744,744,"Half2",4,2,8,"run",4,NA,2,3,11,1,0
"52","PHI","GB","GB","away","PHI",70,702,702,702,"Half2",4,3,4,"pass",11,"short",2,3,11,0,1
"53","PHI","GB","GB","away","PHI",59,664,664,664,"Half2",4,1,10,"run",2,NA,2,3,11,1,0
"54","PHI","GB","GB","away","PHI",57,621,621,621,"Half2",4,2,8,"run",7,NA,2,3,11,1,0
"55","PHI","GB","GB","away","PHI",50,581,581,581,"Half2",4,3,1,"run",-3,NA,2,3,11,1,0
"56","PHI","GB","GB","away","PHI",78,240,240,240,"Half2",4,1,10,"run",3,NA,2,2,5,1,0
"57","PHI","GB","GB","away","PHI",75,234,234,234,"Half2",4,2,7,"run",12,NA,2,1,5,1,0
"58","PHI","GB","GB","away","PHI",63,228,228,228,"Half2",4,1,10,"run",1,NA,2,0,5,1,0
"59","PHI","GB","GB","away","PHI",62,182,182,182,"Half2",4,2,9,"run",-1,NA,2,0,5,1,0
"60","PHI","GB","GB","away","PHI",63,136,136,136,"Half2",4,3,10,"pass",-8,NA,2,0,5,0,1
"61","ATL","GB","GB","away","ATL",89,601,1501,3301,"Half1",1,1,10,"run",-3,NA,3,3,0,1,0
"62","ATL","GB","GB","away","ATL",92,556,1456,3256,"Half1",1,2,13,"pass",0,"short",3,3,0,0,1
"63","ATL","GB","GB","away","ATL",92,552,1452,3252,"Half1",1,3,13,"pass",30,"short",3,3,0,0,1
"64","ATL","GB","GB","away","ATL",76,290,1190,2990,"Half1",1,1,5,"run",4,NA,3,3,-7,1,0
"65","ATL","GB","GB","away","ATL",72,260,1160,2960,"Half1",1,2,1,"run",4,NA,3,3,-7,1,0
"66","ATL","GB","GB","away","ATL",68,215,1115,2915,"Half1",1,1,10,"run",13,NA,3,3,-7,1,0
"67","ATL","GB","GB","away","ATL",55,176,1076,2876,"Half1",1,1,10,"run",4,NA,3,3,-7,1,0
"68","ATL","GB","GB","away","ATL",51,138,1038,2838,"Half1",1,2,6,"pass",7,"short",3,3,-7,0,1
"69","ATL","GB","GB","away","ATL",44,90,990,2790,"Half1",1,1,10,"run",1,NA,3,3,-7,1,0
"70","ATL","GB","GB","away","ATL",43,53,953,2753,"Half1",1,2,9,"pass",2,"short",3,3,-7,0,1
"71","ATL","GB","GB","away","ATL",41,9,909,2709,"Half1",1,3,7,"pass",18,"deep",3,3,-7,0,1
"72","ATL","GB","GB","away","ATL",23,900,900,2700,"Half1",2,1,10,"pass",5,"short",3,3,-7,0,1
"73","ATL","GB","GB","away","ATL",18,857,857,2657,"Half1",2,2,5,"pass",2,"short",3,3,-7,0,1
"74","ATL","GB","GB","away","ATL",16,812,812,2612,"Half1",2,3,3,"pass",8,"short",3,3,-7,0,1
"75","ATL","GB","GB","away","ATL",8,772,772,2572,"Half1",2,1,8,"run",2,NA,3,3,-7,1,0
"76","ATL","GB","GB","away","ATL",6,730,730,2530,"Half1",2,2,6,"pass",6,"short",3,3,-1,0,1
"77","ATL","GB","GB","away","ATL",92,709,709,2509,"Half1",2,1,10,"pass",6,"short",3,3,-7,0,1
"78","ATL","GB","GB","away","ATL",86,671,671,2471,"Half1",2,2,4,"pass",24,"short",3,3,-7,0,1
"79","ATL","GB","GB","away","ATL",62,628,628,2428,"Half1",2,1,10,"pass",12,"short",3,3,-7,0,1
"80","ATL","GB","GB","away","ATL",50,586,586,2386,"Half1",2,1,10,"pass",0,"short",3,3,-7,0,1
"81","ATL","GB","GB","away","ATL",50,582,582,2382,"Half1",2,2,10,"pass",34,"short",3,3,-7,0,1
"82","ATL","GB","GB","away","ATL",16,556,556,2356,"Half1",2,1,10,"run",1,NA,3,3,-7,1,0
"83","ATL","GB","GB","away","ATL",15,519,519,2319,"Half1",2,2,9,"pass",6,"short",3,3,-7,0,1
"84","ATL","GB","GB","away","ATL",4,453,453,2253,"Half1",2,1,4,"run",1,NA,3,3,-7,1,0
"85","ATL","GB","GB","away","ATL",1,407,407,2207,"Half1",2,1,1,"run",0,NA,3,3,-7,1,0
"86","ATL","GB","GB","away","ATL",1,370,370,2170,"Half1",2,2,1,"run",1,NA,3,3,-1,1,0
"87","ATL","GB","GB","away","ATL",80,140,140,1940,"Half1",2,1,10,"pass",6,"short",3,3,0,0,1
"88","ATL","GB","GB","away","ATL",69,120,120,1920,"Half1",2,1,10,"run",6,NA,3,3,0,1,0
"89","ATL","GB","GB","away","ATL",68,113,113,1913,"Half1",2,2,9,"pass",20,"deep",3,3,0,0,1
"90","ATL","GB","GB","away","ATL",48,104,104,1904,"Half1",2,1,10,"pass",8,"short",2,3,0,0,1
"91","ATL","GB","GB","away","ATL",40,73,73,1873,"Half1",2,2,2,"pass",0,"short",2,3,0,0,1
"92","ATL","GB","GB","away","ATL",40,69,69,1869,"Half1",2,3,2,"pass",20,"short",2,3,0,0,1
"93","ATL","GB","GB","away","ATL",20,48,48,1848,"Half1",2,1,10,"pass",20,"deep",2,2,6,0,1
"94","ATL","GB","GB","away","ATL",80,900,1800,1800,"Half2",3,1,10,"pass",-10,NA,3,3,13,0,1
"95","ATL","GB","GB","away","ATL",90,869,1769,1769,"Half2",3,2,20,"pass",7,"short",3,3,13,0,1
"96","ATL","GB","GB","away","ATL",83,826,1726,1726,"Half2",3,3,13,"pass",15,"short",3,3,13,0,1
"97","ATL","GB","GB","away","ATL",68,796,1696,1696,"Half2",3,1,10,"pass",9,"short",3,3,13,0,1
"98","ATL","GB","GB","away","ATL",59,766,1666,1666,"Half2",3,2,1,"run",13,NA,3,3,13,1,0
"99","ATL","GB","GB","away","ATL",46,721,1621,1621,"Half2",3,1,10,"run",9,NA,3,3,13,1,0
"100","ATL","GB","GB","away","ATL",37,679,1579,1579,"Half2",3,2,1,"run",2,NA,3,3,13,1,0
"101","ATL","GB","GB","away","ATL",35,635,1535,1535,"Half2",3,1,10,"pass",0,"short",3,3,13,0,1
"102","ATL","GB","GB","away","ATL",35,629,1529,1529,"Half2",3,2,10,"run",3,NA,3,3,13,1,0
"103","ATL","GB","GB","away","ATL",32,587,1487,1487,"Half2",3,3,7,"pass",14,"short",3,3,13,0,1
"104","ATL","GB","GB","away","ATL",18,546,1446,1446,"Half2",3,1,10,"pass",11,"short",2,3,13,0,1
"105","ATL","GB","GB","away","ATL",7,522,1422,1422,"Half2",3,1,7,"run",7,NA,2,3,19,1,0
"106","ATL","GB","GB","away","ATL",50,449,1349,1349,"Half2",3,1,10,"pass",3,"short",2,3,20,0,1
"107","ATL","GB","GB","away","ATL",47,410,1310,1310,"Half2",3,2,7,"run",1,NA,2,3,20,1,0
"108","ATL","GB","GB","away","ATL",46,369,1269,1269,"Half2",3,3,6,"pass",8,"short",2,3,20,0,1
"109","ATL","GB","GB","away","ATL",38,331,1231,1231,"Half2",3,1,10,"run",6,NA,2,3,20,1,0
"110","ATL","GB","GB","away","ATL",32,286,1186,1186,"Half2",3,2,4,"run",-1,NA,2,3,20,1,0
"111","ATL","GB","GB","away","ATL",33,246,1146,1146,"Half2",3,3,5,"pass",22,"short",2,3,20,0,1
