"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","NYG","ATL","NYG","home","ATL",75,896,1796,3596,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"2","NYG","ATL","NYG","home","ATL",75,891,1791,3591,"Half1",1,2,10,"run",0,NA,3,3,0,1,0
"3","NYG","ATL","NYG","home","ATL",80,831,1731,3531,"Half1",1,3,15,"pass",11,"short",3,3,0,0,1
"4","NYG","ATL","NYG","home","ATL",70,692,1592,3392,"Half1",1,1,10,"run",0,NA,3,3,0,1,0
"5","NYG","ATL","NYG","home","ATL",70,657,1557,3357,"Half1",1,2,10,"pass",-7,NA,3,3,0,0,1
"6","NYG","ATL","NYG","home","ATL",77,621,1521,3321,"Half1",1,3,17,"pass",13,"short",3,3,0,0,1
"7","NYG","ATL","NYG","home","ATL",66,533,1433,3233,"Half1",1,1,10,"pass",13,"short",3,3,0,0,1
"8","NYG","ATL","NYG","home","ATL",53,502,1402,3202,"Half1",1,1,10,"run",2,NA,3,3,0,1,0
"9","NYG","ATL","NYG","home","ATL",51,480,1380,3180,"Half1",1,2,8,"pass",-1,"short",3,3,0,0,1
"10","NYG","ATL","NYG","home","ATL",52,436,1336,3136,"Half1",1,3,9,"run",4,NA,3,3,0,1,0
"11","NYG","ATL","NYG","home","ATL",86,872,872,2672,"Half1",2,1,20,"pass",-1,"short",3,3,0,0,1
"12","NYG","ATL","NYG","home","ATL",85,619,619,2419,"Half1",2,1,10,"run",2,NA,3,3,-2,1,0
"13","NYG","ATL","NYG","home","ATL",83,586,586,2386,"Half1",2,2,8,"pass",6,"short",3,3,-2,0,1
"14","NYG","ATL","NYG","home","ATL",77,544,544,2344,"Half1",2,3,2,"run",14,NA,3,3,-2,1,0
