"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","BAL","IND","BAL","home","IND",52,792,1692,3492,"Half1",1,1,10,"run",3,NA,3,3,0,1,0
"2","BAL","IND","BAL","home","IND",49,763,1663,3463,"Half1",1,2,7,"pass",24,"short",3,3,0,0,1
"3","BAL","IND","BAL","home","IND",25,725,1625,3425,"Half1",1,1,10,"run",4,NA,3,3,0,1,0
"4","BAL","IND","BAL","home","IND",15,694,1594,3394,"Half1",1,1,10,"run",4,NA,3,3,0,1,0
"5","BAL","IND","BAL","home","IND",11,662,1562,3362,"Half1",1,2,6,"run",0,NA,3,3,0,1,0
"6","BAL","IND","BAL","home","IND",63,225,1125,2925,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"7","BAL","IND","BAL","home","IND",63,221,1121,2921,"Half1",1,2,10,"run",4,NA,3,3,0,1,0
"8","BAL","IND","BAL","home","IND",59,185,1085,2885,"Half1",1,3,6,"pass",0,"short",3,3,0,0,1
"9","BAL","IND","BAL","home","IND",71,14,914,2714,"Half1",1,1,10,"run",6,NA,3,3,0,1,0
"10","BAL","IND","BAL","home","IND",65,900,900,2700,"Half1",2,2,4,"run",5,NA,3,3,0,1,0
"11","BAL","IND","BAL","home","IND",60,870,870,2670,"Half1",2,1,10,"pass",22,"deep",3,3,0,0,1
"12","BAL","IND","BAL","home","IND",38,829,829,2629,"Half1",2,1,10,"run",5,NA,3,3,0,1,0
"13","BAL","IND","BAL","home","IND",33,791,791,2591,"Half1",2,2,5,"pass",7,"short",3,3,0,0,1
"14","BAL","IND","BAL","home","IND",26,750,750,2550,"Half1",2,1,10,"run",18,NA,3,3,0,1,0
"15","BAL","IND","BAL","home","IND",8,734,734,2534,"Half1",2,1,8,"run",3,NA,3,3,0,1,0
"16","BAL","IND","BAL","home","IND",5,693,693,2493,"Half1",2,2,5,"pass",0,"short",3,3,0,0,1
"17","BAL","IND","BAL","home","IND",5,688,688,2488,"Half1",2,3,5,"pass",0,"short",3,3,0,0,1
"18","BAL","IND","BAL","home","IND",80,614,614,2414,"Half1",2,1,10,"run",5,NA,3,3,3,1,0
"19","BAL","IND","BAL","home","IND",75,579,579,2379,"Half1",2,2,5,"run",13,NA,3,3,3,1,0
"20","BAL","IND","BAL","home","IND",62,547,547,2347,"Half1",2,1,10,"pass",0,"deep",3,3,3,0,1
"21","BAL","IND","BAL","home","IND",62,541,541,2341,"Half1",2,2,10,"run",2,NA,3,3,3,1,0
"22","BAL","IND","BAL","home","IND",60,505,505,2305,"Half1",2,3,8,"pass",0,"short",3,3,3,0,1
"23","BAL","IND","BAL","home","IND",63,138,138,1938,"Half1",2,1,10,"run",4,NA,3,3,0,1,0
"24","BAL","IND","BAL","home","IND",59,120,120,1920,"Half1",2,2,6,"run",2,NA,3,3,0,1,0
"25","BAL","IND","BAL","home","IND",57,94,94,1894,"Half1",2,3,4,"pass",8,"short",3,3,0,0,1
"26","BAL","IND","BAL","home","IND",49,74,74,1874,"Half1",2,1,10,"pass",0,"short",3,3,0,0,1
"27","BAL","IND","BAL","home","IND",49,68,68,1868,"Half1",2,2,10,"pass",47,"short",3,3,0,0,1
"28","BAL","IND","BAL","home","IND",2,55,55,1855,"Half1",2,1,2,"run",2,NA,3,3,6,1,0
