"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","DEN","PIT","DEN","home","PIT",30,798,1698,3498,"Half1",1,1,10,"pass",11,"short",3,3,0,0,1
"2","DEN","PIT","DEN","home","PIT",19,772,1672,3472,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"3","DEN","PIT","DEN","home","PIT",19,767,1667,3467,"Half1",1,2,10,"run",5,NA,3,3,0,1,0
"4","DEN","PIT","DEN","home","PIT",14,718,1618,3418,"Half1",1,3,5,"pass",4,"short",3,3,0,0,1
"5","DEN","PIT","DEN","home","PIT",68,476,1376,3176,"Half1",1,1,10,"pass",4,"short",3,2,3,0,1
"6","DEN","PIT","DEN","home","PIT",64,443,1343,3143,"Half1",1,2,6,"run",4,NA,3,2,3,1,0
"7","DEN","PIT","DEN","home","PIT",60,399,1299,3099,"Half1",1,3,2,"run",0,NA,3,2,3,1,0
"8","DEN","PIT","DEN","home","PIT",31,306,1206,3006,"Half1",1,1,10,"run",9,NA,3,2,3,1,0
"9","DEN","PIT","DEN","home","PIT",22,261,1161,2961,"Half1",1,2,1,"run",-1,NA,3,2,3,1,0
"10","DEN","PIT","DEN","home","PIT",23,228,1128,2928,"Half1",1,3,2,"pass",0,"short",3,2,3,0,1
"11","DEN","PIT","DEN","home","PIT",80,82,982,2782,"Half1",1,1,10,"pass",0,"short",3,2,-1,0,1
"12","DEN","PIT","DEN","home","PIT",80,78,978,2778,"Half1",1,2,10,"pass",11,"short",3,2,-1,0,1
"13","DEN","PIT","DEN","home","PIT",69,48,948,2748,"Half1",1,1,10,"pass",15,"short",3,2,-1,0,1
"14","DEN","PIT","DEN","home","PIT",54,14,914,2714,"Half1",1,1,10,"pass",12,"short",3,2,-1,0,1
