"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","PHI","ATL","PHI","home","ATL",33,886,1786,3586,"Half1",1,1,10,"run",6,NA,3,3,0,1,0
"2","PHI","ATL","PHI","home","ATL",75,544,1444,3244,"Half1",1,1,10,"run",0,NA,3,3,-3,1,0
"3","PHI","ATL","PHI","home","ATL",75,506,1406,3206,"Half1",1,2,10,"pass",0,"short",3,3,-3,0,1
"4","PHI","ATL","PHI","home","ATL",54,498,1398,3198,"Half1",1,1,10,"run",7,NA,3,3,-3,1,0
"5","PHI","ATL","PHI","home","ATL",47,457,1357,3157,"Half1",1,2,3,"run",11,NA,3,3,-3,1,0
"6","PHI","ATL","PHI","home","ATL",36,414,1314,3114,"Half1",1,1,10,"run",0,NA,3,3,-3,1,0
"7","PHI","ATL","PHI","home","ATL",43,371,1271,3071,"Half1",1,2,17,"pass",10,"short",3,3,-3,0,1
"8","PHI","ATL","PHI","home","ATL",33,340,1240,3040,"Half1",1,3,7,"pass",-8,NA,3,3,-3,0,1
"9","PHI","ATL","PHI","home","ATL",86,132,1032,2832,"Half1",1,1,10,"run",10,NA,3,3,-3,1,0
"10","PHI","ATL","PHI","home","ATL",76,98,998,2798,"Half1",1,1,10,"run",8,NA,3,3,-3,1,0
"11","PHI","ATL","PHI","home","ATL",68,61,961,2761,"Half1",1,2,2,"run",7,NA,3,3,-3,1,0
"12","PHI","ATL","PHI","home","ATL",61,21,921,2721,"Half1",1,1,10,"pass",9,"short",3,3,-3,0,1
"13","PHI","ATL","PHI","home","ATL",52,900,900,2700,"Half1",2,2,1,"run",8,NA,3,3,-3,1,0
"14","PHI","ATL","PHI","home","ATL",44,858,858,2658,"Half1",2,1,10,"pass",6,"short",3,3,-3,0,1
"15","PHI","ATL","PHI","home","ATL",38,830,830,2630,"Half1",2,2,4,"pass",7,"short",3,3,-3,0,1
"16","PHI","ATL","PHI","home","ATL",31,809,809,2609,"Half1",2,1,10,"run",1,NA,3,2,-3,1,0
"17","PHI","ATL","PHI","home","ATL",30,766,766,2566,"Half1",2,2,9,"pass",6,"short",3,2,-3,0,1
"18","PHI","ATL","PHI","home","ATL",24,733,733,2533,"Half1",2,3,3,"run",21,NA,3,2,-3,1,0
"19","PHI","ATL","PHI","home","ATL",3,700,700,2500,"Half1",2,1,3,"pass",0,"short",3,1,-3,0,1
"20","PHI","ATL","PHI","home","ATL",3,696,696,2496,"Half1",2,2,3,"run",1,NA,3,1,-3,1,0
"21","PHI","ATL","PHI","home","ATL",2,651,651,2451,"Half1",2,3,2,"run",1,NA,3,1,-3,1,0
"22","PHI","ATL","PHI","home","ATL",1,632,632,2432,"Half1",2,4,1,"run",1,NA,3,1,3,1,0
"23","PHI","ATL","PHI","home","ATL",70,336,336,2136,"Half1",2,1,10,"run",-4,NA,3,1,-4,1,0
"24","PHI","ATL","PHI","home","ATL",74,296,296,2096,"Half1",2,2,14,"pass",11,"short",3,1,-4,0,1
"25","PHI","ATL","PHI","home","ATL",63,256,256,2056,"Half1",2,3,3,"pass",4,"short",3,1,-4,0,1
"26","PHI","ATL","PHI","home","ATL",59,217,217,2017,"Half1",2,1,10,"run",-1,NA,3,1,-4,1,0
"27","PHI","ATL","PHI","home","ATL",60,180,180,1980,"Half1",2,2,11,"pass",6,"short",3,1,-4,0,1
"28","PHI","ATL","PHI","home","ATL",54,140,140,1940,"Half1",2,3,5,"pass",0,"deep",3,1,-4,0,1
"29","PHI","ATL","PHI","home","ATL",72,46,46,1846,"Half1",2,1,10,"pass",7,"short",2,1,-4,0,1
"30","PHI","ATL","PHI","home","ATL",70,22,22,1822,"Half1",2,2,8,"pass",20,"short",1,1,-4,0,1
"31","PHI","ATL","PHI","home","ATL",50,12,12,1812,"Half1",2,1,10,"pass",0,"deep",0,1,-4,0,1
"32","PHI","ATL","PHI","home","ATL",50,5,5,1805,"Half1",2,2,10,"pass",15,"short",0,1,-4,0,1
"33","PHI","ATL","PHI","home","ATL",60,795,1695,1695,"Half2",3,1,10,"run",-2,NA,3,3,-1,1,0
"34","PHI","ATL","PHI","home","ATL",62,756,1656,1656,"Half2",3,2,12,"pass",8,"short",3,3,-1,0,1
"35","PHI","ATL","PHI","home","ATL",54,713,1613,1613,"Half2",3,3,4,"run",2,NA,3,3,-1,1,0
"36","PHI","ATL","PHI","home","ATL",93,353,1253,1253,"Half2",3,1,10,"run",2,NA,3,3,-1,1,0
"37","PHI","ATL","PHI","home","ATL",91,318,1218,1218,"Half2",3,2,8,"pass",12,"short",3,3,-1,0,1
"38","PHI","ATL","PHI","home","ATL",79,281,1181,1181,"Half2",3,1,10,"pass",13,"short",3,3,-1,0,1
"39","PHI","ATL","PHI","home","ATL",66,254,1154,1154,"Half2",3,1,10,"run",2,NA,3,3,-1,1,0
"40","PHI","ATL","PHI","home","ATL",64,216,1116,1116,"Half2",3,2,8,"run",0,NA,3,3,-1,1,0
"41","PHI","ATL","PHI","home","ATL",64,174,1074,1074,"Half2",3,3,8,"pass",21,"short",3,3,-1,0,1
"42","PHI","ATL","PHI","home","ATL",43,141,1041,1041,"Half2",3,1,10,"pass",11,"short",3,3,-1,0,1
"43","PHI","ATL","PHI","home","ATL",32,95,995,995,"Half2",3,1,10,"pass",13,"short",3,3,-1,0,1
"44","PHI","ATL","PHI","home","ATL",19,65,965,965,"Half2",3,1,10,"run",0,NA,3,3,-1,1,0
"45","PHI","ATL","PHI","home","ATL",19,23,923,923,"Half2",3,2,10,"pass",0,"short",3,3,-1,0,1
"46","PHI","ATL","PHI","home","ATL",19,19,919,919,"Half2",3,3,10,"pass",0,"short",3,3,-1,0,1
"47","PHI","ATL","PHI","home","ATL",83,839,839,839,"Half2",4,1,10,"pass",0,"deep",3,3,2,0,1
"48","PHI","ATL","PHI","home","ATL",83,835,835,835,"Half2",4,2,10,"pass",3,"short",3,3,2,0,1
"49","PHI","ATL","PHI","home","ATL",80,796,796,796,"Half2",4,3,7,"pass",32,"short",3,3,2,0,1
"50","PHI","ATL","PHI","home","ATL",48,758,758,758,"Half2",4,1,10,"run",0,NA,3,3,2,1,0
