"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","NE","LAC","NE","home","LAC",83,899,1799,3599,"Half1",1,1,10,"pass",8,"short",3,3,0,0,1
"2","NE","LAC","NE","home","LAC",75,856,1756,3556,"Half1",1,2,2,"run",-1,NA,3,3,0,1,0
"3","NE","LAC","NE","home","LAC",76,820,1720,3520,"Half1",1,3,3,"pass",6,"short",3,3,0,0,1
"4","NE","LAC","NE","home","LAC",70,791,1691,3491,"Half1",1,1,10,"run",-1,NA,3,3,0,1,0
"5","NE","LAC","NE","home","LAC",71,757,1657,3457,"Half1",1,2,11,"pass",9,"short",3,3,0,0,1
"6","NE","LAC","NE","home","LAC",62,718,1618,3418,"Half1",1,3,2,"pass",10,"short",3,3,0,0,1
"7","NE","LAC","NE","home","LAC",52,680,1580,3380,"Half1",1,1,10,"pass",17,"short",3,3,0,0,1
"8","NE","LAC","NE","home","LAC",35,662,1562,3362,"Half1",1,1,10,"run",11,NA,3,3,0,1,0
"9","NE","LAC","NE","home","LAC",24,628,1528,3328,"Half1",1,1,10,"run",5,NA,3,3,0,1,0
"10","NE","LAC","NE","home","LAC",19,586,1486,3286,"Half1",1,2,5,"pass",0,"short",3,3,0,0,1
"11","NE","LAC","NE","home","LAC",19,583,1483,3283,"Half1",1,3,5,"pass",6,"short",3,3,0,0,1
"12","NE","LAC","NE","home","LAC",13,548,1448,3248,"Half1",1,1,10,"run",0,NA,3,3,0,1,0
"13","NE","LAC","NE","home","LAC",13,514,1414,3214,"Half1",1,2,10,"pass",4,"short",3,3,0,0,1
"14","NE","LAC","NE","home","LAC",1,472,1372,3172,"Half1",1,1,1,"run",1,NA,3,3,6,1,0
"15","NE","LAC","NE","home","LAC",67,291,1191,2991,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"16","NE","LAC","NE","home","LAC",67,289,1189,2989,"Half1",1,2,10,"run",12,NA,3,3,0,1,0
"17","NE","LAC","NE","home","LAC",55,255,1155,2955,"Half1",1,1,10,"pass",-3,"short",3,3,0,0,1
"18","NE","LAC","NE","home","LAC",58,214,1114,2914,"Half1",1,2,13,"pass",14,"short",3,3,0,0,1
"19","NE","LAC","NE","home","LAC",44,175,1075,2875,"Half1",1,1,10,"run",2,NA,3,3,0,1,0
"20","NE","LAC","NE","home","LAC",42,139,1039,2839,"Half1",1,2,8,"pass",28,"deep",3,3,0,0,1
"21","NE","LAC","NE","home","LAC",14,102,1002,2802,"Half1",1,1,10,"run",14,NA,3,3,6,1,0
"22","NE","LAC","NE","home","LAC",58,24,924,2724,"Half1",1,1,10,"pass",0,"short",3,3,7,0,1
"23","NE","LAC","NE","home","LAC",58,22,922,2722,"Half1",1,2,10,"pass",11,"short",3,3,7,0,1
"24","NE","LAC","NE","home","LAC",47,900,900,2700,"Half1",2,1,10,"pass",17,"short",3,3,7,0,1
"25","NE","LAC","NE","home","LAC",30,865,865,2665,"Half1",2,1,10,"pass",0,"short",3,3,7,0,1
"26","NE","LAC","NE","home","LAC",30,863,863,2663,"Half1",2,2,10,"pass",11,"short",3,3,7,0,1
"27","NE","LAC","NE","home","LAC",19,829,829,2629,"Half1",2,1,10,"run",4,NA,3,3,7,1,0
"28","NE","LAC","NE","home","LAC",15,795,795,2595,"Half1",2,2,6,"pass",5,"short",3,3,7,0,1
