"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","KC","HOU","KC","home","HOU",79,714,1614,3414,"Half1",1,1,10,"run",3,NA,3,3,-7,1,0
"2","KC","HOU","KC","home","HOU",81,666,1566,3366,"Half1",1,2,12,"pass",6,"short",3,3,-7,0,1
"3","KC","HOU","KC","home","HOU",75,619,1519,3319,"Half1",1,3,6,"pass",0,"short",2,3,-7,0,1
"4","KC","HOU","KC","home","HOU",82,601,1501,3301,"Half1",1,1,10,"pass",17,"short",2,3,-14,0,1
"5","KC","HOU","KC","home","HOU",65,566,1466,3266,"Half1",1,1,10,"run",0,NA,2,3,-14,1,0
"6","KC","HOU","KC","home","HOU",65,529,1429,3229,"Half1",1,2,10,"pass",15,"short",2,3,-14,0,1
"7","KC","HOU","KC","home","HOU",50,486,1386,3186,"Half1",1,1,10,"pass",0,"short",2,3,-14,0,1
"8","KC","HOU","KC","home","HOU",50,478,1378,3178,"Half1",1,2,10,"pass",5,"short",2,3,-14,0,1
"9","KC","HOU","KC","home","HOU",45,440,1340,3140,"Half1",1,3,5,"pass",0,"short",2,3,-14,0,1
"10","KC","HOU","KC","home","HOU",81,74,974,2774,"Half1",1,1,10,"pass",0,"short",2,3,-21,0,1
"11","KC","HOU","KC","home","HOU",81,69,969,2769,"Half1",1,2,10,"pass",0,"short",2,3,-21,0,1
"12","KC","HOU","KC","home","HOU",81,65,965,2765,"Half1",1,3,10,"pass",0,"deep",2,3,-21,0,1
"13","KC","HOU","KC","home","HOU",42,646,646,2446,"Half1",2,1,10,"pass",25,"short",2,1,-24,0,1
"14","KC","HOU","KC","home","HOU",17,600,600,2400,"Half1",2,1,10,"pass",17,"short",2,1,-18,0,1
"15","KC","HOU","KC","home","HOU",33,508,508,2308,"Half1",2,1,10,"pass",0,"deep",2,1,-17,0,1
"16","KC","HOU","KC","home","HOU",5,497,497,2297,"Half1",2,1,5,"pass",0,"short",2,1,-17,0,1
"17","KC","HOU","KC","home","HOU",5,491,491,2291,"Half1",2,2,5,"pass",5,"short",2,1,-11,0,1
"18","KC","HOU","KC","home","HOU",6,476,476,2276,"Half1",2,1,6,"pass",2,"short",2,1,-10,0,1
"19","KC","HOU","KC","home","HOU",4,440,440,2240,"Half1",2,2,4,"run",-2,NA,2,1,-10,1,0
"20","KC","HOU","KC","home","HOU",6,397,397,2197,"Half1",2,3,6,"pass",6,"short",2,1,-4,0,1
"21","KC","HOU","KC","home","HOU",75,163,163,1963,"Half1",2,1,10,"pass",20,"short",2,0,-3,0,1
"22","KC","HOU","KC","home","HOU",55,125,125,1925,"Half1",2,1,10,"run",21,NA,2,0,-3,1,0
"23","KC","HOU","KC","home","HOU",34,115,115,1915,"Half1",2,1,10,"pass",-5,NA,2,0,-3,0,1
"24","KC","HOU","KC","home","HOU",39,108,108,1908,"Half1",2,2,15,"pass",20,"deep",2,0,-3,0,1
"25","KC","HOU","KC","home","HOU",19,65,65,1865,"Half1",2,1,10,"run",14,NA,2,0,-3,1,0
"26","KC","HOU","KC","home","HOU",5,58,58,1858,"Half1",2,1,5,"pass",0,"short",2,0,-3,0,1
"27","KC","HOU","KC","home","HOU",5,55,55,1855,"Half1",2,2,5,"pass",0,"short",2,0,-3,0,1
"28","KC","HOU","KC","home","HOU",5,50,50,1850,"Half1",2,3,5,"pass",5,"short",2,0,3,0,1
"29","KC","HOU","KC","home","HOU",85,895,1795,1795,"Half2",3,1,10,"pass",11,"short",3,3,4,0,1
"30","KC","HOU","KC","home","HOU",74,859,1759,1759,"Half2",3,1,10,"run",0,NA,3,3,4,1,0
"31","KC","HOU","KC","home","HOU",74,817,1717,1717,"Half2",3,2,10,"pass",48,"deep",3,3,4,0,1
"32","KC","HOU","KC","home","HOU",26,785,1685,1685,"Half2",3,1,10,"run",14,NA,3,3,4,1,0
"33","KC","HOU","KC","home","HOU",12,748,1648,1648,"Half2",3,1,10,"pass",4,"short",3,3,4,0,1
"34","KC","HOU","KC","home","HOU",8,717,1617,1617,"Half2",3,2,6,"run",7,NA,3,3,4,1,0
"35","KC","HOU","KC","home","HOU",1,688,1588,1588,"Half2",3,1,1,"run",1,NA,3,3,10,1,0
"36","KC","HOU","KC","home","HOU",77,514,1414,1414,"Half2",3,1,10,"pass",28,"deep",3,3,10,0,1
"37","KC","HOU","KC","home","HOU",44,450,1350,1350,"Half2",3,1,5,"run",14,NA,3,3,10,1,0
"38","KC","HOU","KC","home","HOU",30,407,1307,1307,"Half2",3,1,10,"pass",4,"short",3,3,10,0,1
"39","KC","HOU","KC","home","HOU",7,363,1263,1263,"Half2",3,1,7,"pass",0,"short",3,3,10,0,1
"40","KC","HOU","KC","home","HOU",7,356,1256,1256,"Half2",3,2,7,"run",2,NA,3,3,10,1,0
"41","KC","HOU","KC","home","HOU",5,283,1183,1183,"Half2",3,1,5,"run",5,NA,3,3,16,1,0
"42","KC","HOU","KC","home","HOU",72,17,917,917,"Half2",3,1,10,"pass",23,"short",3,3,10,0,1
"43","KC","HOU","KC","home","HOU",49,900,900,900,"Half2",4,1,10,"pass",13,"short",3,3,10,0,1
"44","KC","HOU","KC","home","HOU",36,862,862,862,"Half2",4,1,10,"pass",28,"deep",3,3,10,0,1
"45","KC","HOU","KC","home","HOU",8,836,836,836,"Half2",4,1,8,"pass",8,"short",3,3,16,0,1
"46","KC","HOU","KC","home","HOU",58,697,697,697,"Half2",4,1,10,"pass",7,"short",3,2,17,0,1
"47","KC","HOU","KC","home","HOU",51,656,656,656,"Half2",4,2,3,"run",11,NA,3,2,17,1,0
"48","KC","HOU","KC","home","HOU",40,619,619,619,"Half2",4,1,10,"run",26,NA,3,2,17,1,0
"49","KC","HOU","KC","home","HOU",14,580,580,580,"Half2",4,1,10,"run",4,NA,3,2,17,1,0
"50","KC","HOU","KC","home","HOU",10,543,543,543,"Half2",4,2,6,"pass",0,"short",3,2,17,0,1
"51","KC","HOU","KC","home","HOU",10,539,539,539,"Half2",4,3,6,"pass",4,"short",3,2,17,0,1
"52","KC","HOU","KC","home","HOU",58,293,293,293,"Half2",4,1,10,"run",3,NA,3,2,20,1,0
"53","KC","HOU","KC","home","HOU",55,250,250,250,"Half2",4,2,7,"run",-3,NA,3,2,20,1,0
"54","KC","HOU","KC","home","HOU",58,243,243,243,"Half2",4,3,10,"run",1,NA,3,1,20,1,0
"55","KC","TEN","KC","home","TEN",79,682,1582,3382,"Half1",1,1,10,"run",2,NA,3,3,-3,1,0
"56","KC","TEN","KC","home","TEN",77,656,1556,3356,"Half1",1,2,8,"pass",-2,NA,3,3,-3,0,1
"57","KC","TEN","KC","home","TEN",79,614,1514,3314,"Half1",1,3,10,"pass",0,"short",3,3,-3,0,1
"58","KC","TEN","KC","home","TEN",74,346,1246,3046,"Half1",1,1,10,"pass",9,"short",3,3,-10,0,1
"59","KC","TEN","KC","home","TEN",65,309,1209,3009,"Half1",1,2,1,"run",3,NA,3,3,-10,1,0
"60","KC","TEN","KC","home","TEN",62,268,1168,2968,"Half1",1,1,10,"pass",26,"deep",3,3,-10,0,1
