"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","NO","DET","NO","home","DET",54,894,1794,3594,"Half1",1,1,10,"pass",14,"short",3,3,0,0,1
"2","NO","DET","NO","home","DET",40,855,1755,3555,"Half1",1,1,10,"pass",26,"deep",3,3,0,0,1
"3","NO","DET","NO","home","DET",14,825,1725,3525,"Half1",1,1,10,"run",5,NA,3,3,0,1,0
"4","NO","DET","NO","home","DET",9,780,1680,3480,"Half1",1,2,5,"run",0,NA,3,3,0,1,0
"5","NO","DET","NO","home","DET",9,737,1637,3437,"Half1",1,3,5,"pass",9,"short",3,3,6,0,1
"6","NO","DET","NO","home","DET",53,643,1543,3343,"Half1",1,1,10,"run",7,NA,3,3,7,1,0
"7","NO","DET","NO","home","DET",46,606,1506,3306,"Half1",1,2,3,"pass",7,"short",3,3,7,0,1
"8","NO","DET","NO","home","DET",39,582,1482,3282,"Half1",1,1,10,"pass",39,"deep",3,3,13,0,1
"9","NO","DET","NO","home","DET",81,305,1205,3005,"Half1",1,1,10,"run",1,NA,3,3,11,1,0
"10","NO","DET","NO","home","DET",80,275,1175,2975,"Half1",1,2,9,"pass",0,"short",3,3,11,0,1
"11","NO","DET","NO","home","DET",85,270,1170,2970,"Half1",1,3,14,"pass",11,"short",3,3,11,0,1
"12","NO","DET","NO","home","DET",88,168,1068,2868,"Half1",1,1,10,"run",5,NA,3,3,11,1,0
"13","NO","DET","NO","home","DET",83,130,1030,2830,"Half1",1,2,5,"pass",2,"short",3,3,11,0,1
"14","NO","DET","NO","home","DET",81,91,991,2791,"Half1",1,3,3,"pass",0,"short",3,3,11,0,1
"15","NO","DET","NO","home","DET",81,841,841,2641,"Half1",2,1,10,"pass",8,"short",3,2,4,0,1
"16","NO","DET","NO","home","DET",73,802,802,2602,"Half1",2,2,2,"run",1,NA,3,2,4,1,0
"17","NO","DET","NO","home","DET",72,760,760,2560,"Half1",2,3,1,"run",4,NA,3,2,4,1,0
"18","NO","DET","NO","home","DET",63,699,699,2499,"Half1",2,1,5,"run",4,NA,3,2,4,1,0
"19","NO","DET","NO","home","DET",59,674,674,2474,"Half1",2,2,1,"run",1,NA,3,2,4,1,0
"20","NO","DET","NO","home","DET",58,638,638,2438,"Half1",2,1,10,"pass",0,"deep",3,2,4,0,1
"21","NO","DET","NO","home","DET",65,529,529,2329,"Half1",2,1,10,"run",13,NA,3,2,4,1,0
"22","NO","DET","NO","home","DET",52,497,497,2297,"Half1",2,1,10,"pass",0,"short",3,2,4,0,1
"23","NO","DET","NO","home","DET",52,493,493,2293,"Half1",2,2,10,"run",9,NA,3,2,4,1,0
"24","NO","DET","NO","home","DET",43,456,456,2256,"Half1",2,3,1,"pass",14,"short",3,2,4,0,1
"25","NO","DET","NO","home","DET",29,423,423,2223,"Half1",2,1,10,"run",2,NA,3,2,4,1,0
