"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","WAS","NYG","NYG","away","WAS",70,808,1708,3508,"Half1",1,1,10,"run",6,NA,3,3,0,1,0
"2","WAS","NYG","NYG","away","WAS",64,767,1667,3467,"Half1",1,2,4,"run",6,NA,3,3,0,1,0
"3","WAS","NYG","NYG","away","WAS",58,725,1625,3425,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"4","WAS","NYG","NYG","away","WAS",58,718,1618,3418,"Half1",1,2,10,"run",2,NA,3,3,0,1,0
"5","WAS","NYG","NYG","away","WAS",56,678,1578,3378,"Half1",1,3,8,"pass",0,"short",3,3,0,0,1
"6","WAS","NYG","NYG","away","WAS",70,628,1528,3328,"Half1",1,1,10,"pass",0,"deep",3,3,0,0,1
"7","WAS","NYG","NYG","away","WAS",70,621,1521,3321,"Half1",1,2,10,"pass",0,"short",3,3,0,0,1
"8","WAS","NYG","NYG","away","WAS",70,614,1514,3314,"Half1",1,3,10,"pass",68,"deep",3,3,0,0,1
"9","WAS","NYG","NYG","away","WAS",2,603,1503,3303,"Half1",1,1,2,"run",2,NA,3,3,6,1,0
"10","WAS","NYG","NYG","away","WAS",71,274,1174,2974,"Half1",1,1,10,"run",5,NA,3,3,7,1,0
"11","WAS","NYG","NYG","away","WAS",66,235,1135,2935,"Half1",1,2,5,"pass",18,"deep",3,3,7,0,1
"12","WAS","NYG","NYG","away","WAS",58,184,1084,2884,"Half1",1,2,20,"run",2,NA,3,3,7,1,0
"13","WAS","NYG","NYG","away","WAS",56,139,1039,2839,"Half1",1,3,18,"pass",0,"deep",3,3,7,0,1
"14","WAS","NYG","NYG","away","WAS",93,684,684,2484,"Half1",2,1,10,"run",6,NA,3,3,0,1,0
"15","WAS","NYG","NYG","away","WAS",87,646,646,2446,"Half1",2,2,4,"pass",6,"short",3,3,0,0,1
"16","WAS","NYG","NYG","away","WAS",81,617,617,2417,"Half1",2,1,10,"pass",0,"deep",3,3,0,0,1
"17","WAS","NYG","NYG","away","WAS",81,608,608,2408,"Half1",2,2,10,"run",7,NA,3,3,0,1,0
"18","WAS","NYG","NYG","away","WAS",74,565,565,2365,"Half1",2,3,3,"pass",0,"short",3,3,0,0,1
"19","WAS","NYG","NYG","away","WAS",85,452,452,2252,"Half1",2,1,10,"pass",24,"deep",3,3,0,0,1
"20","WAS","NYG","NYG","away","WAS",61,404,404,2204,"Half1",2,1,10,"pass",6,"short",3,3,0,0,1
"21","WAS","NYG","NYG","away","WAS",55,377,377,2177,"Half1",2,2,4,"run",4,NA,3,3,0,1,0
"22","WAS","NYG","NYG","away","WAS",51,329,329,2129,"Half1",2,1,10,"pass",11,"short",3,3,0,0,1
"23","WAS","NYG","NYG","away","WAS",40,292,292,2092,"Half1",2,1,10,"run",3,NA,3,3,0,1,0
"24","WAS","NYG","NYG","away","WAS",37,252,252,2052,"Half1",2,2,7,"pass",17,"short",3,3,0,0,1
"25","WAS","NYG","NYG","away","WAS",20,214,214,2014,"Half1",2,1,10,"run",14,NA,3,3,0,1,0
"26","WAS","NYG","NYG","away","WAS",6,174,174,1974,"Half1",2,1,6,"run",6,NA,3,3,6,1,0
"27","WAS","NYG","NYG","away","WAS",80,37,37,1837,"Half1",2,1,10,"run",0,NA,3,3,0,1,0
"28","WAS","NYG","NYG","away","WAS",82,894,1794,1794,"Half2",3,1,10,"run",4,NA,3,3,0,1,0
"29","WAS","NYG","NYG","away","WAS",83,834,1734,1734,"Half2",3,2,11,"run",1,NA,3,3,0,1,0
"30","WAS","NYG","NYG","away","WAS",82,790,1690,1690,"Half2",3,3,10,"pass",0,"short",3,3,-6,0,1
"31","WAS","NYG","NYG","away","WAS",80,783,1683,1683,"Half2",3,1,10,"run",1,NA,3,3,-6,1,0
"32","WAS","NYG","NYG","away","WAS",79,736,1636,1636,"Half2",3,2,9,"pass",-6,NA,3,3,-6,0,1
"33","WAS","NYG","NYG","away","WAS",85,701,1601,1601,"Half2",3,3,15,"pass",10,"short",3,3,-6,0,1
"34","WAS","NYG","NYG","away","WAS",91,514,1414,1414,"Half2",3,1,10,"pass",41,"deep",2,3,-6,0,1
"35","WAS","NYG","NYG","away","WAS",50,476,1376,1376,"Half2",3,1,10,"pass",8,"short",2,3,-6,0,1
"36","WAS","NYG","NYG","away","WAS",42,446,1346,1346,"Half2",3,2,2,"pass",2,"short",2,3,-6,0,1
"37","WAS","NYG","NYG","away","WAS",40,408,1308,1308,"Half2",3,1,10,"run",3,NA,2,3,-6,1,0
"38","WAS","NYG","NYG","away","WAS",37,365,1265,1265,"Half2",3,2,7,"pass",0,"deep",2,3,-6,0,1
"39","WAS","NYG","NYG","away","WAS",37,359,1259,1259,"Half2",3,3,7,"pass",6,"short",2,3,-6,0,1
"40","WAS","NYG","NYG","away","WAS",31,317,1217,1217,"Half2",3,4,1,"run",0,NA,2,3,-6,1,0
"41","WAS","NYG","NYG","away","WAS",90,37,937,937,"Half2",3,1,10,"pass",-8,NA,2,3,-6,0,1
"42","WAS","NYG","NYG","away","WAS",98,900,900,900,"Half2",4,2,18,"pass",0,"short",2,3,-6,0,1
"43","WAS","NYG","NYG","away","WAS",98,892,892,892,"Half2",4,3,18,"pass",3,"short",2,3,-6,0,1
"44","WAS","NYG","NYG","away","WAS",27,782,782,782,"Half2",4,1,10,"run",5,NA,2,3,-6,1,0
"45","WAS","NYG","NYG","away","WAS",22,747,747,747,"Half2",4,2,5,"pass",4,"short",2,3,-6,0,1
"46","WAS","NYG","NYG","away","WAS",18,708,708,708,"Half2",4,3,1,"run",-2,NA,2,3,-6,1,0
"47","WAS","NYG","NYG","away","WAS",80,304,304,304,"Half2",4,1,10,"pass",7,"short",2,3,-13,0,1
"48","WAS","NYG","NYG","away","WAS",73,268,268,268,"Half2",4,2,3,"pass",15,"short",2,3,-13,0,1
"49","WAS","NYG","NYG","away","WAS",58,236,236,236,"Half2",4,1,10,"pass",0,"short",2,3,-13,0,1
"50","WAS","NYG","NYG","away","WAS",63,230,230,230,"Half2",4,2,15,"pass",-7,NA,2,3,-13,0,1
"51","WAS","NYG","NYG","away","WAS",70,205,205,205,"Half2",4,3,22,"pass",0,"short",2,3,-13,0,1
"52","WAS","NYG","NYG","away","WAS",83,66,66,66,"Half2",4,1,10,"pass",0,"short",0,2,-13,0,1
"53","WAS","NYG","NYG","away","WAS",83,61,61,61,"Half2",4,2,10,"pass",14,"short",0,2,-13,0,1
"54","WAS","NYG","NYG","away","WAS",69,38,38,38,"Half2",4,1,10,"pass",8,"short",0,2,-13,0,1
"55","WAS","NYG","NYG","away","WAS",61,20,20,20,"Half2",4,2,2,"pass",-7,NA,0,2,-13,0,1
"56","NYG","STL","NYG","home","STL",80,900,1800,3600,"Half1",1,1,10,"pass",16,"deep",3,3,0,0,1
"57","NYG","STL","NYG","home","STL",64,866,1766,3566,"Half1",1,1,10,"run",7,NA,3,3,0,1,0
"58","NYG","STL","NYG","home","STL",57,838,1738,3538,"Half1",1,2,3,"run",5,NA,3,3,0,1,0
"59","NYG","STL","NYG","home","STL",52,808,1708,3508,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"60","NYG","STL","NYG","home","STL",52,798,1698,3498,"Half1",1,2,10,"run",15,NA,3,3,0,1,0
"61","NYG","STL","NYG","home","STL",37,763,1663,3463,"Half1",1,1,10,"pass",0,"deep",3,3,0,0,1
"62","NYG","STL","NYG","home","STL",79,549,1449,3249,"Half1",1,1,10,"pass",0,"short",3,3,-3,0,1
"63","NYG","STL","NYG","home","STL",79,544,1444,3244,"Half1",1,2,10,"run",0,NA,3,3,-3,1,0
"64","NYG","STL","NYG","home","STL",79,502,1402,3202,"Half1",1,3,10,"pass",0,"short",3,3,-3,0,1
"65","NYG","STL","NYG","home","STL",38,484,1384,3184,"Half1",1,1,10,"run",-1,NA,3,3,-3,1,0
"66","NYG","STL","NYG","home","STL",39,448,1348,3148,"Half1",1,2,11,"run",7,NA,3,3,-3,1,0
"67","NYG","STL","NYG","home","STL",32,406,1306,3106,"Half1",1,3,4,"pass",0,"short",3,3,-3,0,1
"68","NYG","STL","NYG","home","STL",9,390,1290,3090,"Half1",1,1,9,"run",6,NA,3,3,-3,1,0
"69","NYG","STL","NYG","home","STL",3,353,1253,3053,"Half1",1,2,3,"pass",3,"short",3,3,3,0,1
"70","NYG","STL","NYG","home","STL",80,201,1101,2901,"Half1",1,1,10,"run",2,NA,3,3,1,1,0
"71","NYG","STL","NYG","home","STL",78,166,1066,2866,"Half1",1,2,8,"run",5,NA,3,3,1,1,0
"72","NYG","STL","NYG","home","STL",73,124,1024,2824,"Half1",1,3,3,"pass",0,"short",3,3,1,0,1
