"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","BAL","CIN","BAL","home","CIN",79,895,1795,3595,"Half1",1,1,10,"pass",52,"deep",3,3,0,0,1
"2","BAL","CIN","BAL","home","CIN",27,847,1747,3547,"Half1",1,1,10,"run",6,NA,3,3,0,1,0
"3","BAL","CIN","BAL","home","CIN",21,811,1711,3511,"Half1",1,2,4,"pass",0,"short",3,3,0,0,1
"4","BAL","CIN","BAL","home","CIN",21,807,1707,3507,"Half1",1,3,4,"pass",-7,NA,3,3,0,0,1
"5","BAL","CIN","BAL","home","CIN",63,708,1608,3408,"Half1",1,1,10,"run",13,NA,3,3,3,1,0
"6","BAL","CIN","BAL","home","CIN",50,674,1574,3374,"Half1",1,1,10,"pass",10,"short",3,3,3,0,1
"7","BAL","CIN","BAL","home","CIN",40,640,1540,3340,"Half1",1,1,10,"run",0,NA,3,3,3,1,0
"8","BAL","CIN","BAL","home","CIN",50,625,1525,3325,"Half1",1,2,20,"pass",5,"short",3,3,3,0,1
"9","BAL","CIN","BAL","home","CIN",45,586,1486,3286,"Half1",1,3,15,"pass",16,"short",3,3,3,0,1
"10","BAL","CIN","BAL","home","CIN",29,554,1454,3254,"Half1",1,1,10,"run",3,NA,3,3,3,1,0
"11","BAL","CIN","BAL","home","CIN",26,523,1423,3223,"Half1",1,2,7,"run",1,NA,3,3,3,1,0
"12","BAL","CIN","BAL","home","CIN",25,487,1387,3187,"Half1",1,3,6,"pass",5,"short",3,3,3,0,1
"13","BAL","CIN","BAL","home","CIN",20,442,1342,3142,"Half1",1,4,1,"pass",1,"short",2,3,3,0,1
"14","BAL","CIN","BAL","home","CIN",19,405,1305,3105,"Half1",1,1,10,"pass",0,"short",2,3,3,0,1
"15","BAL","CIN","BAL","home","CIN",19,399,1299,3099,"Half1",1,2,10,"pass",12,"short",2,3,3,0,1
"16","BAL","CIN","BAL","home","CIN",7,368,1268,3068,"Half1",1,1,7,"run",7,NA,2,3,9,1,0
"17","BAL","CIN","BAL","home","CIN",82,886,886,2686,"Half1",2,1,10,"run",16,NA,2,3,7,1,0
"18","BAL","CIN","BAL","home","CIN",66,852,852,2652,"Half1",2,1,10,"run",1,NA,2,3,7,1,0
"19","BAL","CIN","BAL","home","CIN",65,820,820,2620,"Half1",2,2,9,"pass",25,"short",2,3,7,0,1
"20","BAL","CIN","BAL","home","CIN",40,786,786,2586,"Half1",2,1,10,"run",6,NA,2,3,7,1,0
"21","BAL","CIN","BAL","home","CIN",34,754,754,2554,"Half1",2,2,4,"pass",34,"deep",2,3,13,0,1
"22","BAL","CIN","BAL","home","CIN",76,525,525,2325,"Half1",2,1,10,"run",3,NA,2,3,14,1,0
"23","BAL","CIN","BAL","home","CIN",58,496,496,2296,"Half1",2,1,10,"pass",14,"short",2,3,14,0,1
"24","BAL","CIN","BAL","home","CIN",44,461,461,2261,"Half1",2,1,10,"pass",3,"short",2,3,14,0,1
"25","BAL","CIN","BAL","home","CIN",51,405,405,2205,"Half1",2,1,17,"pass",6,"short",2,3,14,0,1
"26","BAL","CIN","BAL","home","CIN",45,395,395,2195,"Half1",2,2,11,"pass",0,"short",2,3,14,0,1
"27","BAL","CIN","BAL","home","CIN",45,391,391,2191,"Half1",2,3,11,"pass",-6,NA,2,3,14,0,1
"28","BAL","CIN","BAL","home","CIN",94,534,1434,1434,"Half2",3,1,15,"pass",23,"deep",3,3,4,0,1
"29","BAL","CIN","BAL","home","CIN",71,504,1404,1404,"Half2",3,1,10,"pass",3,"short",3,3,4,0,1
"30","BAL","CIN","BAL","home","CIN",62,474,1374,1374,"Half2",3,1,10,"pass",0,"short",3,3,4,0,1
"31","BAL","CIN","BAL","home","CIN",62,469,1369,1369,"Half2",3,2,10,"pass",18,"short",3,3,4,0,1
"32","BAL","CIN","BAL","home","CIN",44,441,1341,1341,"Half2",3,1,10,"run",13,NA,3,3,4,1,0
"33","BAL","CIN","BAL","home","CIN",31,409,1309,1309,"Half2",3,1,10,"pass",19,"deep",3,3,4,0,1
"34","BAL","CIN","BAL","home","CIN",12,371,1271,1271,"Half2",3,1,10,"run",2,NA,3,3,4,1,0
"35","BAL","CIN","BAL","home","CIN",10,333,1233,1233,"Half2",3,2,8,"pass",0,"short",3,3,4,0,1
"36","BAL","CIN","BAL","home","CIN",10,325,1225,1225,"Half2",3,3,8,"pass",10,"short",3,3,10,0,1
"37","BAL","CIN","BAL","home","CIN",74,262,1162,1162,"Half2",3,1,10,"pass",25,"deep",3,3,11,0,1
"38","BAL","CIN","BAL","home","CIN",49,225,1125,1125,"Half2",3,1,10,"pass",10,"short",3,3,11,0,1
"39","BAL","CIN","BAL","home","CIN",39,183,1083,1083,"Half2",3,1,10,"pass",3,"short",3,3,11,0,1
"40","BAL","CIN","BAL","home","CIN",36,146,1046,1046,"Half2",3,2,7,"run",10,NA,3,3,11,1,0
"41","BAL","CIN","BAL","home","CIN",26,109,1009,1009,"Half2",3,1,10,"pass",5,"short",3,3,11,0,1
"42","BAL","CIN","BAL","home","CIN",21,89,989,989,"Half2",3,2,5,"pass",0,"deep",3,3,11,0,1
"43","BAL","CIN","BAL","home","CIN",21,83,983,983,"Half2",3,3,5,"pass",0,"deep",3,3,11,0,1
"44","BAL","CIN","BAL","home","CIN",28,888,888,888,"Half2",4,1,10,"run",7,NA,3,3,20,1,0
"45","BAL","CIN","BAL","home","CIN",1,849,849,849,"Half2",4,1,1,"run",1,NA,3,3,26,1,0
"46","BAL","CIN","BAL","home","CIN",56,657,657,657,"Half2",4,1,10,"run",3,NA,2,3,27,1,0
"47","BAL","CIN","BAL","home","CIN",53,623,623,623,"Half2",4,2,7,"pass",0,"deep",2,3,27,0,1
"48","BAL","CIN","BAL","home","CIN",53,616,616,616,"Half2",4,3,7,"pass",-8,NA,2,3,27,0,1
"49","BAL","CIN","BAL","home","CIN",81,503,503,503,"Half2",4,1,10,"run",11,NA,2,3,27,1,0
"50","BAL","CIN","BAL","home","CIN",70,460,460,460,"Half2",4,1,10,"run",6,NA,2,3,27,1,0
"51","BAL","CIN","BAL","home","CIN",64,415,415,415,"Half2",4,2,4,"run",7,NA,2,3,27,1,0
"52","BAL","CIN","BAL","home","CIN",57,373,373,373,"Half2",4,1,10,"run",0,NA,2,3,27,1,0
"53","BAL","CIN","BAL","home","CIN",57,335,335,335,"Half2",4,2,10,"pass",5,"short",2,3,27,0,1
"54","BAL","CIN","BAL","home","CIN",52,291,291,291,"Half2",4,3,5,"pass",25,"short",2,3,27,0,1
"55","BAL","CIN","BAL","home","CIN",27,265,265,265,"Half2",4,1,10,"run",0,NA,2,3,27,1,0
"56","BAL","CIN","BAL","home","CIN",27,243,243,243,"Half2",4,2,10,"run",7,NA,2,3,27,1,0
"57","BAL","CIN","BAL","home","CIN",20,194,194,194,"Half2",4,3,3,"pass",0,"deep",2,3,27,0,1
"58","PHI","BAL","BAL","away","PHI",80,614,1514,3314,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"59","PHI","BAL","BAL","away","PHI",80,580,1480,3280,"Half1",1,2,10,"pass",-5,NA,3,3,0,0,1
"60","PHI","BAL","BAL","away","PHI",58,334,1234,3034,"Half1",1,1,10,"pass",23,"deep",3,2,-7,0,1
"61","PHI","BAL","BAL","away","PHI",35,296,1196,2996,"Half1",1,1,10,"run",5,NA,3,2,-7,1,0
"62","PHI","BAL","BAL","away","PHI",30,268,1168,2968,"Half1",1,2,5,"run",6,NA,3,2,-7,1,0
"63","PHI","BAL","BAL","away","PHI",24,237,1137,2937,"Half1",1,1,10,"pass",8,"short",3,2,-7,0,1
"64","PHI","BAL","BAL","away","PHI",16,212,1112,2912,"Half1",1,2,2,"run",4,NA,3,2,-7,1,0
"65","PHI","BAL","BAL","away","PHI",12,177,1077,2877,"Half1",1,1,10,"pass",7,"short",3,2,-7,0,1
"66","PHI","BAL","BAL","away","PHI",5,132,1032,2832,"Half1",1,2,3,"run",5,NA,3,2,-1,1,0
"67","PHI","BAL","BAL","away","PHI",75,890,890,2690,"Half1",2,1,10,"pass",6,"short",3,2,0,0,1
"68","PHI","BAL","BAL","away","PHI",69,867,867,2667,"Half1",2,2,4,"pass",6,"short",3,2,0,0,1
"69","PHI","BAL","BAL","away","PHI",63,838,838,2638,"Half1",2,1,10,"pass",4,"short",3,2,0,0,1
"70","PHI","BAL","BAL","away","PHI",59,811,811,2611,"Half1",2,2,6,"run",2,NA,3,2,0,1,0
"71","PHI","BAL","BAL","away","PHI",57,767,767,2567,"Half1",2,3,4,"pass",0,"short",3,2,0,0,1
