"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","MIA","NE","NE","away","MIA",80,900,1800,3600,"Half1",1,1,10,"run",2,NA,3,3,0,1,0
"2","MIA","NE","NE","away","MIA",78,869,1769,3569,"Half1",1,2,8,"pass",4,"short",3,3,0,0,1
"3","MIA","NE","NE","away","MIA",74,832,1732,3532,"Half1",1,3,4,"pass",0,"short",3,3,0,0,1
"4","MIA","NE","NE","away","MIA",80,706,1606,3406,"Half1",1,1,10,"pass",8,"short",3,3,-7,0,1
"5","MIA","NE","NE","away","MIA",72,668,1568,3368,"Half1",1,2,2,"pass",8,"short",3,3,-7,0,1
"6","MIA","NE","NE","away","MIA",64,647,1547,3347,"Half1",1,1,10,"run",4,NA,3,3,-7,1,0
"7","MIA","NE","NE","away","MIA",60,618,1518,3318,"Half1",1,2,6,"pass",9,"short",3,3,-7,0,1
"8","MIA","NE","NE","away","MIA",51,584,1484,3284,"Half1",1,1,10,"run",17,NA,3,3,-7,1,0
"9","MIA","NE","NE","away","MIA",34,560,1460,3260,"Half1",1,1,10,"pass",3,"short",3,3,-7,0,1
"10","MIA","NE","NE","away","MIA",25,503,1403,3203,"Half1",1,1,10,"run",1,NA,3,3,-7,1,0
"11","MIA","NE","NE","away","MIA",24,464,1364,3164,"Half1",1,2,9,"pass",9,"short",3,3,-7,0,1
"12","MIA","NE","NE","away","MIA",15,421,1321,3121,"Half1",1,1,10,"pass",9,"short",3,3,-7,0,1
"13","MIA","NE","NE","away","MIA",6,401,1301,3101,"Half1",1,2,1,"run",0,NA,3,3,-7,1,0
"14","MIA","NE","NE","away","MIA",6,368,1268,3068,"Half1",1,3,1,"run",2,NA,3,3,-7,1,0
"15","MIA","NE","NE","away","MIA",4,335,1235,3035,"Half1",1,1,4,"run",2,NA,3,3,-7,1,0
"16","MIA","NE","NE","away","MIA",2,315,1215,3015,"Half1",1,2,2,"run",2,NA,3,3,-1,1,0
"17","MIA","NE","NE","away","MIA",35,219,1119,2919,"Half1",1,1,10,"pass",0,"short",3,2,0,0,1
"18","MIA","NE","NE","away","MIA",35,212,1112,2912,"Half1",1,2,10,"pass",9,"short",3,2,0,0,1
"19","MIA","NE","NE","away","MIA",26,183,1083,2883,"Half1",1,3,1,"run",2,NA,3,2,0,1,0
"20","MIA","NE","NE","away","MIA",24,141,1041,2841,"Half1",1,1,10,"pass",0,"short",3,2,0,0,1
"21","MIA","NE","NE","away","MIA",24,135,1035,2835,"Half1",1,2,10,"pass",4,"short",3,2,0,0,1
"22","MIA","NE","NE","away","MIA",35,89,989,2789,"Half1",1,3,21,"pass",6,"short",3,2,0,0,1
"23","MIA","NE","NE","away","MIA",94,776,776,2576,"Half1",2,1,10,"pass",0,"short",3,2,3,0,1
"24","MIA","NE","NE","away","MIA",94,772,772,2572,"Half1",2,2,10,"pass",0,"short",3,2,3,0,1
"25","MIA","NE","NE","away","MIA",94,769,769,2569,"Half1",2,3,10,"run",11,NA,3,2,3,1,0
"26","MIA","NE","NE","away","MIA",83,730,730,2530,"Half1",2,1,10,"run",4,NA,3,2,3,1,0
"27","MIA","NE","NE","away","MIA",79,691,691,2491,"Half1",2,2,6,"pass",44,"deep",3,2,3,0,1
"28","MIA","NE","NE","away","MIA",35,664,664,2464,"Half1",2,1,10,"pass",0,"deep",3,2,3,0,1
"29","MIA","NE","NE","away","MIA",35,657,657,2457,"Half1",2,2,10,"pass",4,"short",3,2,3,0,1
"30","MIA","NE","NE","away","MIA",31,619,619,2419,"Half1",2,3,6,"pass",11,"short",3,2,3,0,1
"31","MIA","NE","NE","away","MIA",20,590,590,2390,"Half1",2,1,10,"run",11,NA,3,2,3,1,0
"32","MIA","NE","NE","away","MIA",9,570,570,2370,"Half1",2,1,9,"pass",3,"short",3,2,3,0,1
"33","MIA","NE","NE","away","MIA",6,525,525,2325,"Half1",2,2,6,"pass",6,"short",3,2,9,0,1
"34","MIA","NE","NE","away","MIA",66,434,434,2234,"Half1",2,1,10,"pass",0,"short",3,2,10,0,1
"35","MIA","NE","NE","away","MIA",66,432,432,2232,"Half1",2,2,10,"run",1,NA,3,2,10,1,0
"36","MIA","NE","NE","away","MIA",65,397,397,2197,"Half1",2,3,9,"pass",0,"short",3,2,10,0,1
"37","MIA","NE","NE","away","MIA",74,113,113,1913,"Half1",2,1,10,"run",2,NA,3,2,7,1,0
"38","MIA","NE","NE","away","MIA",67,83,83,1883,"Half1",2,2,3,"pass",21,"deep",3,2,7,0,1
"39","MIA","NE","NE","away","MIA",46,54,54,1854,"Half1",2,1,10,"pass",5,"short",3,2,7,0,1
"40","MIA","NE","NE","away","MIA",41,47,47,1847,"Half1",2,2,5,"pass",6,"short",2,2,7,0,1
"41","MIA","NE","NE","away","MIA",45,36,36,1836,"Half1",2,1,20,"pass",18,"short",1,2,7,0,1
"42","MIA","NE","NE","away","MIA",27,19,19,1819,"Half1",2,2,2,"pass",0,"deep",1,2,7,0,1
"43","MIA","NE","NE","away","MIA",27,15,15,1815,"Half1",2,3,2,"pass",0,"deep",1,2,7,0,1
"44","MIA","NE","NE","away","MIA",80,626,1526,1526,"Half2",3,1,10,"pass",3,"short",3,3,7,0,1
"45","MIA","NE","NE","away","MIA",77,609,1509,1509,"Half2",3,2,7,"pass",12,"short",3,3,7,0,1
"46","MIA","NE","NE","away","MIA",65,587,1487,1487,"Half2",3,1,10,"run",2,NA,3,3,7,1,0
"47","MIA","NE","NE","away","MIA",63,554,1454,1454,"Half2",3,2,8,"pass",-3,NA,3,3,7,0,1
"48","MIA","NE","NE","away","MIA",80,415,1315,1315,"Half2",3,1,10,"pass",0,"deep",3,3,0,0,1
"49","MIA","NE","NE","away","MIA",80,409,1309,1309,"Half2",3,2,10,"pass",2,"short",3,3,0,0,1
"50","MIA","NE","NE","away","MIA",78,371,1271,1271,"Half2",3,3,8,"pass",0,"short",3,3,0,0,1
"51","MIA","NE","NE","away","MIA",80,158,1058,1058,"Half2",3,1,10,"run",-2,NA,3,3,-3,1,0
"52","MIA","NE","NE","away","MIA",82,121,1021,1021,"Half2",3,2,12,"pass",14,"short",3,3,-3,0,1
