"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","DEN","BAL","DEN","home","BAL",86,693,1593,3393,"Half1",1,1,10,"run",3,NA,3,3,0,1,0
"2","DEN","BAL","DEN","home","BAL",83,672,1572,3372,"Half1",1,2,7,"pass",8,"short",3,3,0,0,1
"3","DEN","BAL","DEN","home","BAL",75,645,1545,3345,"Half1",1,1,10,"run",5,NA,3,3,0,1,0
"4","DEN","BAL","DEN","home","BAL",70,609,1509,3309,"Half1",1,2,5,"pass",0,"short",3,3,0,0,1
"5","DEN","BAL","DEN","home","BAL",70,606,1506,3306,"Half1",1,3,5,"pass",6,"short",3,3,0,0,1
"6","DEN","BAL","DEN","home","BAL",59,553,1453,3253,"Half1",1,1,5,"run",1,NA,3,3,0,1,0
"7","DEN","BAL","DEN","home","BAL",58,520,1420,3220,"Half1",1,2,4,"pass",0,"short",3,3,0,0,1
"8","DEN","BAL","DEN","home","BAL",58,514,1414,3214,"Half1",1,3,4,"pass",13,"short",3,3,0,0,1
"9","DEN","BAL","DEN","home","BAL",45,477,1377,3177,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"10","DEN","BAL","DEN","home","BAL",45,472,1372,3172,"Half1",1,2,10,"run",7,NA,3,3,0,1,0
"11","DEN","BAL","DEN","home","BAL",38,428,1328,3128,"Half1",1,3,3,"pass",6,"short",3,3,0,0,1
"12","DEN","BAL","DEN","home","BAL",32,388,1288,3088,"Half1",1,1,10,"pass",0,"short",3,3,0,0,1
"13","DEN","BAL","DEN","home","BAL",32,383,1283,3083,"Half1",1,2,10,"run",-1,NA,3,3,0,1,0
"14","DEN","BAL","DEN","home","BAL",38,326,1226,3026,"Half1",1,3,16,"pass",0,"deep",3,3,0,0,1
