"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","WAS","PHI","PHI","away","WAS",56,755,1655,3455,"Half1",1,1,10,"pass",0,"deep",3,3,0,0,1
"2","WAS","PHI","PHI","away","WAS",56,747,1647,3447,"Half1",1,2,10,"pass",-2,NA,3,3,0,0,1
"3","WAS","PHI","PHI","away","WAS",58,703,1603,3403,"Half1",1,3,12,"pass",58,"deep",3,3,6,0,1
"4","WAS","PHI","PHI","away","WAS",48,598,1498,3298,"Half1",1,1,10,"pass",1,"short",3,3,7,0,1
"5","WAS","PHI","PHI","away","WAS",57,556,1456,3256,"Half1",1,1,19,"run",6,NA,3,3,7,1,0
"6","WAS","PHI","PHI","away","WAS",51,513,1413,3213,"Half1",1,2,13,"pass",6,"short",3,3,7,0,1
"7","WAS","PHI","PHI","away","WAS",45,477,1377,3177,"Half1",1,3,7,"pass",10,"short",3,3,7,0,1
"8","WAS","PHI","PHI","away","WAS",35,436,1336,3136,"Half1",1,1,10,"run",1,NA,3,3,7,1,0
"9","WAS","PHI","PHI","away","WAS",34,397,1297,3097,"Half1",1,2,9,"run",0,NA,3,3,7,1,0
"10","WAS","PHI","PHI","away","WAS",87,289,1189,2989,"Half1",1,1,10,"run",4,NA,3,3,7,1,0
"11","WAS","PHI","PHI","away","WAS",83,254,1154,2954,"Half1",1,2,6,"run",5,NA,3,3,7,1,0
"12","WAS","PHI","PHI","away","WAS",78,211,1111,2911,"Half1",1,3,1,"run",-2,NA,3,3,7,1,0
"13","WAS","PHI","PHI","away","WAS",39,163,1063,2863,"Half1",1,1,10,"pass",7,"short",3,3,7,0,1
"14","WAS","PHI","PHI","away","WAS",32,117,1017,2817,"Half1",1,2,3,"run",4,NA,3,3,7,1,0
"15","WAS","PHI","PHI","away","WAS",28,71,971,2771,"Half1",1,1,10,"pass",14,"short",3,3,7,0,1
"16","WAS","PHI","PHI","away","WAS",14,27,927,2727,"Half1",1,1,10,"run",6,NA,3,3,7,1,0
"17","WAS","PHI","PHI","away","WAS",8,900,900,2700,"Half1",2,2,4,"pass",5,"short",3,3,7,0,1
"18","WAS","PHI","PHI","away","WAS",3,856,856,2656,"Half1",2,1,3,"run",2,NA,3,3,7,1,0
"19","WAS","PHI","PHI","away","WAS",1,813,813,2613,"Half1",2,2,1,"pass",0,"short",3,3,7,0,1
"20","WAS","PHI","PHI","away","WAS",1,808,808,2608,"Half1",2,3,1,"pass",1,"short",3,3,13,0,1
"21","WAS","PHI","PHI","away","WAS",94,566,566,2366,"Half1",2,1,10,"pass",14,"short",3,3,13,0,1
"22","WAS","PHI","PHI","away","WAS",80,523,523,2323,"Half1",2,1,10,"pass",0,"short",3,3,13,0,1
"23","WAS","PHI","PHI","away","WAS",80,519,519,2319,"Half1",2,2,10,"pass",0,"short",3,3,7,0,1
"24","WAS","PHI","PHI","away","WAS",75,510,510,2310,"Half1",2,1,10,"run",7,NA,3,3,7,1,0
"25","WAS","PHI","PHI","away","WAS",73,441,441,2241,"Half1",2,2,8,"pass",10,"short",3,3,7,0,1
"26","WAS","PHI","PHI","away","WAS",63,397,397,2197,"Half1",2,1,10,"run",2,NA,3,3,7,1,0
"27","WAS","PHI","PHI","away","WAS",76,323,323,2123,"Half1",2,2,23,"pass",15,"short",3,3,7,0,1
"28","WAS","PHI","PHI","away","WAS",61,275,275,2075,"Half1",2,3,8,"pass",-7,NA,3,3,7,0,1
"29","WAS","PHI","PHI","away","WAS",75,77,77,1877,"Half1",2,1,10,"pass",0,"deep",3,2,0,0,1
"30","WAS","PHI","PHI","away","WAS",75,71,71,1871,"Half1",2,2,10,"run",0,NA,3,2,0,1,0
"31","WAS","PHI","PHI","away","WAS",75,64,64,1864,"Half1",2,3,10,"pass",12,"short",3,1,0,0,1
"32","WAS","PHI","PHI","away","WAS",63,56,56,1856,"Half1",2,1,10,"pass",0,"deep",2,1,0,0,1
"33","WAS","PHI","PHI","away","WAS",63,50,50,1850,"Half1",2,2,10,"run",4,NA,2,1,0,1,0
"34","WAS","PHI","PHI","away","WAS",59,41,41,1841,"Half1",2,3,6,"pass",10,"short",1,1,0,0,1
"35","WAS","PHI","PHI","away","WAS",49,22,22,1822,"Half1",2,1,10,"pass",8,"short",1,1,0,0,1
"36","WAS","PHI","PHI","away","WAS",41,15,15,1815,"Half1",2,2,2,"pass",9,"short",0,1,0,0,1
"37","WAS","PHI","PHI","away","WAS",32,10,10,1810,"Half1",2,1,10,"pass",0,"deep",0,1,0,0,1
"38","WAS","PHI","PHI","away","WAS",75,900,1800,1800,"Half2",3,1,10,"pass",11,"short",3,3,3,0,1
"39","WAS","PHI","PHI","away","WAS",64,866,1766,1766,"Half2",3,1,10,"run",0,NA,3,3,3,1,0
"40","WAS","PHI","PHI","away","WAS",64,823,1723,1723,"Half2",3,2,10,"pass",0,"short",3,3,3,0,1
"41","WAS","PHI","PHI","away","WAS",64,815,1715,1715,"Half2",3,3,10,"pass",30,"short",3,3,3,0,1
"42","WAS","PHI","PHI","away","WAS",34,778,1678,1678,"Half2",3,1,10,"pass",7,"short",3,3,3,0,1
"43","WAS","PHI","PHI","away","WAS",27,699,1599,1599,"Half2",3,1,15,"run",3,NA,3,3,3,1,0
"44","WAS","PHI","PHI","away","WAS",24,653,1553,1553,"Half2",3,2,12,"pass",0,"short",3,3,3,0,1
"45","WAS","PHI","PHI","away","WAS",24,649,1549,1549,"Half2",3,3,12,"pass",0,"short",3,3,3,0,1
"46","WAS","PHI","PHI","away","WAS",74,120,1020,1020,"Half2",3,1,10,"pass",11,"short",3,2,3,0,1
"47","WAS","PHI","PHI","away","WAS",63,88,988,988,"Half2",3,1,10,"pass",13,"short",3,2,3,0,1
"48","WAS","PHI","PHI","away","WAS",66,52,952,952,"Half2",3,2,26,"run",5,NA,3,2,3,1,0
"49","WAS","PHI","PHI","away","WAS",61,10,910,910,"Half2",3,3,21,"pass",0,"deep",3,2,3,0,1
"50","WAS","PHI","PHI","away","WAS",85,741,741,741,"Half2",4,1,10,"run",2,NA,3,2,3,1,0
"51","WAS","PHI","PHI","away","WAS",83,702,702,702,"Half2",4,2,8,"pass",4,"short",3,2,3,0,1
"52","WAS","PHI","PHI","away","WAS",79,659,659,659,"Half2",4,3,4,"pass",5,"short",3,2,3,0,1
"53","WAS","PHI","PHI","away","WAS",74,617,617,617,"Half2",4,1,10,"run",0,NA,3,2,3,1,0
"54","WAS","PHI","PHI","away","WAS",74,573,573,573,"Half2",4,2,10,"pass",0,"deep",3,2,3,0,1
"55","WAS","PHI","PHI","away","WAS",74,567,567,567,"Half2",4,3,10,"pass",23,"deep",3,2,3,0,1
"56","WAS","PHI","PHI","away","WAS",51,520,520,520,"Half2",4,1,10,"run",3,NA,3,2,3,1,0
"57","WAS","PHI","PHI","away","WAS",48,487,487,487,"Half2",4,2,7,"run",-2,NA,3,2,3,1,0
"58","WAS","PHI","PHI","away","WAS",50,442,442,442,"Half2",4,3,9,"pass",-1,"short",3,2,3,0,1
"59","WAS","PHI","PHI","away","WAS",53,346,346,346,"Half2",4,1,10,"pass",0,"short",3,2,3,0,1
"60","WAS","PHI","PHI","away","WAS",53,306,306,306,"Half2",4,2,10,"pass",24,"short",3,2,3,0,1
"61","WAS","PHI","PHI","away","WAS",29,257,257,257,"Half2",4,1,10,"run",3,NA,3,2,3,1,0
"62","WAS","PHI","PHI","away","WAS",26,213,213,213,"Half2",4,2,7,"run",4,NA,3,2,3,1,0
"63","WAS","PHI","PHI","away","WAS",22,169,169,169,"Half2",4,3,3,"run",2,NA,3,2,3,1,0
"64","KC","PHI","PHI","away","KC",74,677,1577,3377,"Half1",1,1,10,"pass",11,"short",3,3,-3,0,1
"65","KC","PHI","PHI","away","KC",63,641,1541,3341,"Half1",1,1,10,"run",12,NA,3,3,-3,1,0
"66","KC","PHI","PHI","away","KC",51,602,1502,3302,"Half1",1,1,10,"pass",22,"deep",3,3,-3,0,1
"67","KC","PHI","PHI","away","KC",29,556,1456,3256,"Half1",1,1,10,"pass",-3,"short",3,3,-3,0,1
"68","KC","PHI","PHI","away","KC",32,512,1412,3212,"Half1",1,2,13,"run",6,NA,3,3,-3,1,0
"69","KC","PHI","PHI","away","KC",26,472,1372,3172,"Half1",1,3,7,"pass",12,"short",3,3,-3,0,1
"70","KC","PHI","PHI","away","KC",14,430,1330,3130,"Half1",1,1,10,"pass",0,"short",3,3,-3,0,1
"71","KC","PHI","PHI","away","KC",19,356,1256,3056,"Half1",1,1,10,"pass",0,"deep",3,3,-3,0,1
"72","KC","PHI","PHI","away","KC",19,351,1251,3051,"Half1",1,2,10,"run",3,NA,3,3,-3,1,0
"73","KC","PHI","PHI","away","KC",16,310,1210,3010,"Half1",1,3,7,"pass",0,"short",3,3,-3,0,1
"74","KC","PHI","PHI","away","KC",80,25,925,2725,"Half1",1,1,10,"run",5,NA,3,3,0,1,0
"75","KC","PHI","PHI","away","KC",75,900,900,2700,"Half1",2,2,5,"pass",16,"short",3,3,0,0,1
"76","KC","PHI","PHI","away","KC",59,862,862,2662,"Half1",2,1,10,"run",-2,NA,3,3,0,1,0
"77","KC","PHI","PHI","away","KC",61,817,817,2617,"Half1",2,2,12,"pass",13,"short",3,3,0,0,1
"78","KC","PHI","PHI","away","KC",48,780,780,2580,"Half1",2,1,10,"run",2,NA,3,3,0,1,0
"79","KC","PHI","PHI","away","KC",41,725,725,2525,"Half1",2,1,10,"pass",-5,NA,3,3,0,0,1
"80","KC","PHI","PHI","away","KC",46,676,676,2476,"Half1",2,2,15,"run",-3,NA,3,3,0,1,0
"81","KC","PHI","PHI","away","KC",49,630,630,2430,"Half1",2,3,18,"pass",0,"deep",3,3,0,0,1
"82","KC","PHI","PHI","away","KC",93,303,303,2103,"Half1",2,1,10,"run",6,NA,3,3,0,1,0
