"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","JAX","KC","KC","away","JAX",75,896,1796,3596,"Half1",1,1,10,"run",-1,NA,3,3,0,1,0
"2","JAX","KC","KC","away","JAX",76,856,1756,3556,"Half1",1,2,11,"pass",8,"short",3,3,0,0,1
"3","JAX","KC","KC","away","JAX",68,816,1716,3516,"Half1",1,3,3,"pass",68,"short",3,3,6,0,1
"4","JAX","KC","KC","away","JAX",79,704,1604,3404,"Half1",1,1,10,"pass",42,"deep",3,3,7,0,1
"5","JAX","KC","KC","away","JAX",37,660,1560,3360,"Half1",1,1,10,"pass",21,"deep",3,3,7,0,1
"6","JAX","KC","KC","away","JAX",16,623,1523,3323,"Half1",1,1,10,"run",5,NA,3,3,7,1,0
"7","JAX","KC","KC","away","JAX",11,582,1482,3282,"Half1",1,2,5,"pass",2,"short",3,3,7,0,1
"8","JAX","KC","KC","away","JAX",9,545,1445,3245,"Half1",1,3,3,"pass",0,"short",3,3,7,0,1
"9","JAX","KC","KC","away","JAX",85,313,1213,3013,"Half1",1,1,15,"pass",13,"short",3,3,3,0,1
"10","JAX","KC","KC","away","JAX",72,278,1178,2978,"Half1",1,2,2,"run",13,NA,3,3,3,1,0
"11","JAX","KC","KC","away","JAX",59,239,1139,2939,"Half1",1,1,10,"run",2,NA,3,3,3,1,0
"12","JAX","KC","KC","away","JAX",57,203,1103,2903,"Half1",1,2,8,"pass",8,"short",3,3,3,0,1
"13","JAX","KC","KC","away","JAX",49,165,1065,2865,"Half1",1,1,10,"pass",49,"deep",3,3,9,0,1
"14","JAX","KC","KC","away","JAX",75,696,696,2496,"Half1",2,1,10,"pass",41,"deep",3,3,7,0,1
"15","JAX","KC","KC","away","JAX",34,657,657,2457,"Half1",2,1,10,"run",3,NA,3,3,7,1,0
"16","JAX","KC","KC","away","JAX",31,619,619,2419,"Half1",2,2,7,"pass",22,"short",3,3,7,0,1
"17","JAX","KC","KC","away","JAX",9,580,580,2380,"Half1",2,1,9,"pass",0,"short",3,3,7,0,1
"18","JAX","KC","KC","away","JAX",9,576,576,2376,"Half1",2,2,9,"run",2,NA,3,3,7,1,0
"19","JAX","KC","KC","away","JAX",7,528,528,2328,"Half1",2,3,7,"pass",0,"short",3,3,7,0,1
"20","JAX","KC","KC","away","JAX",75,262,262,2062,"Half1",2,1,10,"pass",18,"short",3,3,7,0,1
"21","JAX","KC","KC","away","JAX",57,221,221,2021,"Half1",2,1,10,"pass",5,"short",3,3,7,0,1
"22","JAX","KC","KC","away","JAX",52,182,182,1982,"Half1",2,2,5,"run",4,NA,3,3,7,1,0
"23","JAX","KC","KC","away","JAX",48,149,149,1949,"Half1",2,3,1,"run",4,NA,3,3,7,1,0
"24","JAX","KC","KC","away","JAX",44,120,120,1920,"Half1",2,1,10,"pass",5,"short",3,3,7,0,1
"25","JAX","KC","KC","away","JAX",39,82,82,1882,"Half1",2,2,5,"pass",8,"short",3,3,7,0,1
"26","JAX","KC","KC","away","JAX",31,50,50,1850,"Half1",2,1,10,"pass",3,"short",3,3,7,0,1
"27","JAX","KC","KC","away","JAX",28,45,45,1845,"Half1",2,2,7,"pass",0,"deep",3,2,7,0,1
"28","JAX","KC","KC","away","JAX",28,33,33,1833,"Half1",2,3,7,"pass",0,"deep",3,2,7,0,1
"29","JAX","KC","KC","away","JAX",60,530,1430,1430,"Half2",3,1,10,"run",1,NA,3,3,10,1,0
"30","JAX","KC","KC","away","JAX",59,496,1396,1396,"Half2",3,2,9,"pass",8,"short",3,3,10,0,1
"31","JAX","KC","KC","away","JAX",51,452,1352,1352,"Half2",3,3,1,"run",2,NA,3,2,10,1,0
"32","JAX","KC","KC","away","JAX",49,415,1315,1315,"Half2",3,1,10,"pass",9,"short",3,2,10,0,1
"33","JAX","KC","KC","away","JAX",40,371,1271,1271,"Half2",3,2,1,"run",2,NA,3,2,10,1,0
"34","JAX","KC","KC","away","JAX",38,336,1236,1236,"Half2",3,1,10,"run",0,NA,3,2,10,1,0
"35","JAX","KC","KC","away","JAX",38,297,1197,1197,"Half2",3,2,10,"pass",12,"short",3,2,10,0,1
"36","JAX","KC","KC","away","JAX",26,255,1155,1155,"Half2",3,1,10,"pass",0,"short",3,2,10,0,1
"37","JAX","KC","KC","away","JAX",16,230,1130,1130,"Half2",3,1,10,"pass",15,"short",3,2,10,0,1
"38","JAX","KC","KC","away","JAX",1,185,1085,1085,"Half2",3,1,1,"pass",-1,"short",3,2,10,0,1
"39","JAX","KC","KC","away","JAX",1,148,1048,1048,"Half2",3,1,1,"run",1,NA,3,2,16,1,0
"40","JAX","KC","KC","away","JAX",67,15,915,915,"Half2",3,1,10,"pass",7,"short",3,2,17,0,1
