"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","MIN","ATL","MIN","home","ATL",31,752,1652,3452,"Half1",1,1,20,"pass",8,"short",3,3,0,0,1
"2","MIN","ATL","MIN","home","ATL",23,717,1617,3417,"Half1",1,2,12,"pass",23,"short",3,3,6,0,1
"3","MIN","ATL","MIN","home","ATL",41,595,1495,3295,"Half1",1,1,10,"pass",1,"short",3,3,7,0,1
"4","MIN","ATL","MIN","home","ATL",40,557,1457,3257,"Half1",1,2,9,"run",21,NA,3,3,7,1,0
"5","MIN","ATL","MIN","home","ATL",19,511,1411,3211,"Half1",1,1,10,"pass",0,"short",3,3,7,0,1
"6","MIN","ATL","MIN","home","ATL",19,508,1408,3208,"Half1",1,2,10,"run",19,NA,3,3,13,1,0
"7","MIN","ATL","MIN","home","ATL",92,151,1051,2851,"Half1",1,1,10,"run",3,NA,3,3,14,1,0
"8","MIN","ATL","MIN","home","ATL",89,116,1016,2816,"Half1",1,2,7,"pass",6,"short",3,3,14,0,1
"9","MIN","ATL","MIN","home","ATL",83,75,975,2775,"Half1",1,3,1,"run",2,NA,3,3,14,1,0
"10","MIN","ATL","MIN","home","ATL",81,31,931,2731,"Half1",1,1,10,"run",23,NA,3,3,14,1,0
"11","MIN","ATL","MIN","home","ATL",68,871,871,2671,"Half1",2,1,20,"run",-4,NA,3,3,14,1,0
"12","MIN","ATL","MIN","home","ATL",72,832,832,2632,"Half1",2,2,24,"run",0,NA,3,3,14,1,0
"13","MIN","ATL","MIN","home","ATL",74,794,794,2594,"Half1",2,3,26,"run",6,NA,3,3,14,1,0
"14","MIN","ATL","MIN","home","ATL",79,621,621,2421,"Half1",2,1,10,"run",1,NA,3,3,14,1,0
"15","MIN","ATL","MIN","home","ATL",78,583,583,2383,"Half1",2,2,9,"run",0,NA,3,3,14,1,0
"16","MIN","ATL","MIN","home","ATL",78,540,540,2340,"Half1",2,3,9,"pass",9,"short",3,3,14,0,1
"17","MIN","ATL","MIN","home","ATL",54,497,497,2297,"Half1",2,1,10,"pass",0,"short",3,3,14,0,1
"18","MIN","ATL","MIN","home","ATL",54,490,490,2290,"Half1",2,2,10,"run",3,NA,3,3,14,1,0
"19","MIN","ATL","MIN","home","ATL",46,442,442,2242,"Half1",2,1,10,"run",6,NA,3,3,14,1,0
"20","MIN","ATL","MIN","home","ATL",40,401,401,2201,"Half1",2,2,4,"run",22,NA,3,3,14,1,0
"21","MIN","ATL","MIN","home","ATL",18,359,359,2159,"Half1",2,1,10,"run",17,NA,3,3,14,1,0
"22","MIN","ATL","MIN","home","ATL",1,318,318,2118,"Half1",2,1,1,"run",0,NA,3,2,14,1,0
"23","MIN","ATL","MIN","home","ATL",1,282,282,2082,"Half1",2,2,1,"run",1,NA,3,2,20,1,0
"24","MIN","ATL","MIN","home","ATL",90,103,103,1903,"Half1",2,1,10,"run",2,NA,1,2,21,1,0
"25","MIN","ATL","MIN","home","ATL",88,99,99,1899,"Half1",2,2,8,"run",-2,NA,1,1,21,1,0
"26","MIN","ATL","MIN","home","ATL",90,95,95,1895,"Half1",2,3,10,"run",0,NA,1,0,21,1,0
