"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","CLE","MIN","MIN","away","CLE",70,681,1581,3381,"Half1",1,1,10,"run",1,NA,3,3,-3,1,0
"2","CLE","MIN","MIN","away","CLE",69,645,1545,3345,"Half1",1,2,9,"run",0,NA,3,3,-3,1,0
"3","CLE","MIN","MIN","away","CLE",69,604,1504,3304,"Half1",1,3,9,"pass",-1,"short",3,3,-3,0,1
"4","CLE","MIN","MIN","away","CLE",49,415,1315,3115,"Half1",1,1,10,"pass",6,"short",3,3,-3,0,1
"5","CLE","MIN","MIN","away","CLE",43,381,1281,3081,"Half1",1,2,4,"run",3,NA,3,3,-3,1,0
"6","CLE","MIN","MIN","away","CLE",40,345,1245,3045,"Half1",1,3,1,"run",7,NA,3,3,-3,1,0
"7","CLE","MIN","MIN","away","CLE",33,310,1210,3010,"Half1",1,1,10,"pass",-4,NA,3,3,-3,0,1
"8","CLE","MIN","MIN","away","CLE",37,271,1171,2971,"Half1",1,2,14,"run",13,NA,3,3,-3,1,0
"9","CLE","MIN","MIN","away","CLE",24,228,1128,2928,"Half1",1,3,1,"run",5,NA,3,3,-3,1,0
"10","CLE","MIN","MIN","away","CLE",19,187,1087,2887,"Half1",1,1,10,"pass",5,"short",3,3,-3,0,1
"11","CLE","MIN","MIN","away","CLE",14,137,1037,2837,"Half1",1,2,5,"run",11,NA,3,3,-3,1,0
"12","CLE","MIN","MIN","away","CLE",3,93,993,2793,"Half1",1,1,3,"run",2,NA,3,3,-3,1,0
"13","CLE","MIN","MIN","away","CLE",1,55,955,2755,"Half1",1,2,1,"run",-2,NA,3,3,-3,1,0
"14","CLE","MIN","MIN","away","CLE",3,10,910,2710,"Half1",1,3,3,"pass",0,"short",3,3,-3,0,1
"15","CLE","MIN","MIN","away","CLE",23,776,776,2576,"Half1",2,1,10,"pass",2,"short",3,3,0,0,1
"16","CLE","MIN","MIN","away","CLE",21,747,747,2547,"Half1",2,2,8,"pass",18,"short",3,3,0,0,1
"17","CLE","MIN","MIN","away","CLE",3,714,714,2514,"Half1",2,1,3,"run",2,NA,3,3,0,1,0
"18","CLE","MIN","MIN","away","CLE",1,677,677,2477,"Half1",2,2,1,"run",1,NA,3,3,6,1,0
"19","CLE","MIN","MIN","away","CLE",80,357,357,2157,"Half1",2,1,10,"pass",9,"short",2,3,4,0,1
"20","CLE","MIN","MIN","away","CLE",71,323,323,2123,"Half1",2,2,1,"run",0,NA,2,3,4,1,0
"21","CLE","MIN","MIN","away","CLE",71,279,279,2079,"Half1",2,3,1,"run",0,NA,2,3,4,1,0
"22","CLE","MIN","MIN","away","CLE",85,143,143,1943,"Half1",2,1,10,"pass",0,"short",2,3,4,0,1
"23","CLE","MIN","MIN","away","CLE",85,139,139,1939,"Half1",2,2,10,"pass",-6,NA,2,3,4,0,1
"24","CLE","MIN","MIN","away","CLE",91,120,120,1920,"Half1",2,3,16,"pass",10,"short",2,3,4,0,1
